"Time","stddev_over_time(sum(consumer_total_lag)[20m:])"
2026-06-22 00:31:15,13.9
2026-06-22 00:31:30,13.6
2026-06-22 00:31:45,13.7
2026-06-22 00:32:00,13.2
2026-06-22 00:32:15,13.2
2026-06-22 00:32:30,13.4
2026-06-22 00:32:45,13.1
2026-06-22 00:33:00,12.8
2026-06-22 00:33:15,12.4
2026-06-22 00:33:30,12.2
2026-06-22 00:33:45,12.3
2026-06-22 00:34:00,12.2
2026-06-22 00:34:15,11.9
2026-06-22 00:34:30,11.7
2026-06-22 00:34:45,11.6
2026-06-22 00:35:00,11.6
2026-06-22 00:35:15,12.2
2026-06-22 00:35:30,12.0
2026-06-22 00:35:45,11.8
2026-06-22 00:36:00,11.8
2026-06-22 00:36:15,11.7
2026-06-22 00:36:30,12.1
2026-06-22 00:36:45,11.9
2026-06-22 00:37:00,11.8
2026-06-22 00:37:15,11.6
2026-06-22 00:37:30,11.6
2026-06-22 00:37:45,11.4
2026-06-22 00:38:00,11.3
2026-06-22 00:38:15,11.3
2026-06-22 00:38:30,11.1
2026-06-22 00:38:45,11.4
2026-06-22 00:39:00,11.3
2026-06-22 00:39:15,11.2
2026-06-22 00:39:30,11.1
2026-06-22 00:39:45,11.0
2026-06-22 00:40:00,10.8
2026-06-22 00:40:15,10.8
2026-06-22 00:40:30,10.7
2026-06-22 00:40:45,10.7
2026-06-22 00:41:00,11.0
2026-06-22 00:41:15,11.0
2026-06-22 00:41:30,11.0
2026-06-22 00:41:45,10.9
2026-06-22 00:42:00,10.9
2026-06-22 00:42:15,10.9
2026-06-22 00:42:30,10.8
2026-06-22 00:42:45,10.7
2026-06-22 00:43:00,14.2
2026-06-22 00:43:15,14.0
2026-06-22 00:43:30,14.3
2026-06-22 00:43:45,14.2
2026-06-22 00:44:00,14.1
2026-06-22 00:44:15,14.1
2026-06-22 00:44:30,14.0
2026-06-22 00:44:45,14.0
2026-06-22 00:45:00,13.9
2026-06-22 00:45:15,14.0
2026-06-22 00:45:30,14.0
2026-06-22 00:45:45,13.9
2026-06-22 00:46:00,13.8
2026-06-22 00:46:15,13.7
2026-06-22 00:46:30,15.3
2026-06-22 00:46:45,15.2
2026-06-22 00:47:00,15.6
2026-06-22 00:47:15,15.5
2026-06-22 00:47:30,15.4
2026-06-22 00:47:45,15.3
2026-06-22 00:48:00,15.3
2026-06-22 00:48:15,15.3
2026-06-22 00:48:30,15.2
2026-06-22 00:48:45,14.8
2026-06-22 00:49:00,19.2
2026-06-22 00:49:15,19.2
2026-06-22 00:49:30,19.1
2026-06-22 00:49:45,19.2
2026-06-22 00:50:00,19.2
2026-06-22 00:50:15,19.3
2026-06-22 00:50:30,19.7
2026-06-22 00:50:45,19.6
2026-06-22 00:51:00,19.6
2026-06-22 00:51:15,20.0
2026-06-22 00:51:30,20.1
2026-06-22 00:51:45,20.1
2026-06-22 00:52:00,20.0
2026-06-22 00:52:15,20.0
2026-06-22 00:52:30,20.0
2026-06-22 00:52:45,19.9
2026-06-22 00:53:00,20.0
2026-06-22 00:53:15,20.0
2026-06-22 00:53:30,20.0
2026-06-22 00:53:45,20.0
2026-06-22 00:54:00,24.1
2026-06-22 00:54:15,24.1
2026-06-22 00:54:30,24.3
2026-06-22 00:54:45,24.5
2026-06-22 00:55:00,24.5
2026-06-22 00:55:15,24.4
2026-06-22 00:55:30,24.5
2026-06-22 00:55:45,24.5
2026-06-22 00:56:00,24.7
2026-06-22 00:56:15,24.7
2026-06-22 00:56:30,26.8
2026-06-22 00:56:45,26.8
2026-06-22 00:57:00,26.8
2026-06-22 00:57:15,26.8
2026-06-22 00:57:30,27.2
2026-06-22 00:57:45,27.2
2026-06-22 00:58:00,27.2
2026-06-22 00:58:15,27.2
2026-06-22 00:58:30,27.2
2026-06-22 00:58:45,27.2
2026-06-22 00:59:00,27.1
2026-06-22 00:59:15,27.0
2026-06-22 00:59:30,27.0
2026-06-22 00:59:45,27.0
2026-06-22 01:00:00,27.1
2026-06-22 01:00:15,27.2
2026-06-22 01:00:30,27.3
2026-06-22 01:00:45,27.3
2026-06-22 01:01:00,27.4
2026-06-22 01:01:15,27.4
