"Time","avg_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 00:31:00,2850
2026-06-22 00:31:15,2864
2026-06-22 00:31:30,2875
2026-06-22 00:31:45,2884
2026-06-22 00:32:00,2893
2026-06-22 00:32:15,2901
2026-06-22 00:32:30,2907
2026-06-22 00:32:45,2912
2026-06-22 00:33:00,2917
2026-06-22 00:33:15,2921
2026-06-22 00:33:30,2925
2026-06-22 00:33:45,2929
2026-06-22 00:34:00,2932
2026-06-22 00:34:15,2935
2026-06-22 00:34:30,2938
2026-06-22 00:34:45,2941
2026-06-22 00:35:00,2943
2026-06-22 00:35:15,2945
2026-06-22 00:35:30,2947
2026-06-22 00:35:45,2949
2026-06-22 00:36:00,2951
2026-06-22 00:36:15,2952
2026-06-22 00:36:30,2954
2026-06-22 00:36:45,2955
2026-06-22 00:37:00,2957
2026-06-22 00:37:15,2958
2026-06-22 00:37:30,2959
2026-06-22 00:37:45,2961
2026-06-22 00:38:00,2962
2026-06-22 00:38:15,2962
2026-06-22 00:38:30,2963
2026-06-22 00:38:45,2964
2026-06-22 00:39:00,2965
2026-06-22 00:39:15,2966
2026-06-22 00:39:30,2967
2026-06-22 00:39:45,2967
2026-06-22 00:40:00,2968
2026-06-22 00:40:15,2969
2026-06-22 00:40:30,2969
2026-06-22 00:40:45,2970
2026-06-22 00:41:00,2970
2026-06-22 00:41:15,2971
2026-06-22 00:41:30,2972
2026-06-22 00:41:45,2972
2026-06-22 00:42:00,2973
2026-06-22 00:42:15,2973
2026-06-22 00:42:30,2974
2026-06-22 00:42:45,2974
2026-06-22 00:43:00,2975
2026-06-22 00:43:15,2975
2026-06-22 00:43:30,2975
2026-06-22 00:43:45,2976
2026-06-22 00:44:00,2976
2026-06-22 00:44:15,2976
2026-06-22 00:44:30,2977
2026-06-22 00:44:45,2977
2026-06-22 00:45:00,2977
2026-06-22 00:45:15,2978
2026-06-22 00:45:30,2978
2026-06-22 00:45:45,2978
2026-06-22 00:46:00,2979
2026-06-22 00:46:15,2979
2026-06-22 00:46:30,2979
2026-06-22 00:46:45,2980
2026-06-22 00:47:00,2980
2026-06-22 00:47:15,2980
2026-06-22 00:47:30,2980
2026-06-22 00:47:45,2981
2026-06-22 00:48:00,2981
2026-06-22 00:48:15,2981
2026-06-22 00:48:30,2982
2026-06-22 00:48:45,2982
2026-06-22 00:49:00,2999
2026-06-22 00:49:15,3000
2026-06-22 00:49:30,3000
2026-06-22 00:49:45,3000
2026-06-22 00:50:00,3000
2026-06-22 00:50:15,3000
2026-06-22 00:50:30,3000
2026-06-22 00:50:45,3000
2026-06-22 00:51:00,3000
2026-06-22 00:51:15,3000
2026-06-22 00:51:30,3000
2026-06-22 00:51:45,3000
2026-06-22 00:52:00,3000
2026-06-22 00:52:15,3000
2026-06-22 00:52:30,3000
2026-06-22 00:52:45,3000
2026-06-22 00:53:00,3000
2026-06-22 00:53:15,3000
2026-06-22 00:53:30,3000
2026-06-22 00:53:45,3000
2026-06-22 00:54:00,3000
2026-06-22 00:54:15,3000
2026-06-22 00:54:30,3000
2026-06-22 00:54:45,3000
2026-06-22 00:55:00,3000
2026-06-22 00:55:15,3000
2026-06-22 00:55:30,3000
2026-06-22 00:55:45,3000
2026-06-22 00:56:00,3000
2026-06-22 00:56:15,3000
2026-06-22 00:56:30,3000
2026-06-22 00:56:45,3000
2026-06-22 00:57:00,3000
2026-06-22 00:57:15,3000
2026-06-22 00:57:30,3000
2026-06-22 00:57:45,3000
2026-06-22 00:58:00,3000
2026-06-22 00:58:15,3000
2026-06-22 00:58:30,3000
2026-06-22 00:58:45,3000
2026-06-22 00:59:00,3000
2026-06-22 00:59:15,3000
2026-06-22 00:59:30,3000
2026-06-22 00:59:45,3000
2026-06-22 01:00:00,3000
2026-06-22 01:00:15,3000
2026-06-22 01:00:30,3000
2026-06-22 01:00:45,3000
2026-06-22 01:01:00,3000
