label,exp_dir,n_blocks,throughput_rows_per_sec,gev_c,gev_loc,gev_scale,outlier_threshold_s,n_exceedances,gpd_c,gpd_loc,gpd_scale
POLL_TIMEOUT=20ms,../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,125448,12544800.0,-1.016461000585184,0.0219629497651957,0.0026302340752078,1.0,2198,-0.1813518146933287,0.0,26.672457601257705
POLL_TIMEOUT=3ms,../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,114084,11408400.0,-1.6840766683463886,0.0069775824855799,0.0022278136015042,1.0,2433,-0.13755127962483402,0.0,24.613208402913692
POLL_TIMEOUT=5ms,../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,8238,823800.0,-1.2730554408635373,0.0045651455386804,0.0009368824843765,1.0,136,-0.6106461259397695,0.0,30.304203618898487
