,lat_p99_ms,msg_rate_window
count,36.0,36.0
mean,1129.0884166666665,138.73494625
std,460.7952090818886,89.60643865639983
min,416.206,13.68799
25%,761.4680000000001,57.727604
50%,958.3895,121.704364
75%,1473.80775,246.48964675
max,1951.016,257.093366
