index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
3672263,synthetic_3,82,1750889745.3218281,1751153944.2977433,264198.97591519356
3672273,synthetic_3,105,1750889745.3219924,1751153944.2977667,264198.9757742882
3672283,synthetic_3,91,1750889745.3221593,1751153944.2977772,264198.9756178856
3672293,synthetic_3,90,1750889745.3223279,1751153944.2977853,264198.9754574299
3672303,synthetic_3,103,1750889745.322501,1751153944.297795,264198.97529411316
3672313,synthetic_3,96,1750889745.3226683,1751153944.2978034,264198.97513508797
3672323,synthetic_3,96,1750889745.3228498,1751153944.297811,264198.9749612808
3672333,synthetic_3,90,1750889745.3230145,1751153944.2978177,264198.9748032093
3672343,synthetic_3,98,1750889745.3231883,1751153944.297826,264198.9746377468
3672353,synthetic_3,103,1750889745.3233585,1751153944.2978334,264198.9744749069
3672363,synthetic_3,105,1750889745.3235285,1751153944.2978404,264198.9743118286
3672373,synthetic_3,97,1750889745.3237004,1751153944.2978468,264198.9741463661
3672383,synthetic_3,103,1750889745.3238668,1751153944.2978535,264198.9739866257
3672393,synthetic_3,84,1750889745.3240585,1751153944.2978601,264198.97380161285
3672403,synthetic_3,84,1750889745.3242228,1751153944.2978663,264198.97364354134
3672413,synthetic_3,83,1750889745.3244038,1751153944.297872,264198.9734683037
3672423,synthetic_3,91,1750889745.4284275,1751153944.2978783,264198.8694508076
3672433,synthetic_3,97,1750889745.4286203,1751153944.2978854,264198.8692650795
3672443,synthetic_3,104,1750889745.4287846,1751153944.2978928,264198.8691082001
3672453,synthetic_3,90,1750889745.4289575,1751153944.2978995,264198.8689420223
3672463,synthetic_3,104,1750889745.4291294,1751153944.297906,264198.86877655983
3672473,synthetic_3,105,1750889745.4293199,1751153944.297915,264198.8685951233
3672483,synthetic_3,90,1750889745.4295049,1751153944.2979214,264198.8684165478
3672493,synthetic_3,84,1750889745.4296937,1751153944.2979276,264198.86823391914
3672503,synthetic_3,90,1750889745.4298847,1751153944.2979338,264198.86804914474
3672513,synthetic_3,97,1750889745.4300816,1751153944.2979417,264198.8678600788
3672523,synthetic_3,104,1750889745.4302516,1751153944.2979481,264198.86769652367
3672533,synthetic_3,102,1750889745.4304295,1751153944.2979546,264198.8675251007
3672543,synthetic_3,97,1750889745.4306076,1751153944.2979612,264198.86735367775
3672553,synthetic_3,89,1750889745.430806,1751153944.2979677,264198.8671617508
3672563,synthetic_3,96,1750889745.431014,1751153944.2979739,264198.86695981026
3672573,synthetic_3,105,1750889745.4312003,1751153944.2979803,264198.86678004265
3672583,synthetic_3,95,1750889745.4313788,1751153944.2979867,264198.86660790443
3672593,synthetic_3,89,1750889745.431574,1751153944.2979932,264198.8664190769
3672603,synthetic_3,89,1750889745.431758,1751153944.2980006,264198.8662426472
3672613,synthetic_3,83,1750889745.431946,1751153944.2980072,264198.86606121063
3672623,synthetic_3,104,1750889745.4321067,1751153944.2980137,264198.8659069538
3672633,synthetic_3,89,1750889745.4322953,1751153944.2980204,264198.86572504044
3672643,synthetic_3,89,1750889745.4324954,1751153944.2980268,264198.86553144455
3672653,synthetic_3,102,1750889745.432693,1751153944.2980332,264198.86534023285
3672663,synthetic_3,98,1750889745.4328418,1751153944.2980394,264198.86519765854
3672673,synthetic_3,90,1750889745.4329824,1751153944.2980459,264198.8650634289
3672683,synthetic_3,84,1750889745.4331193,1751153944.2980523,264198.8649330139
3672693,synthetic_3,96,1750889745.4332612,1751153944.2980585,264198.86479735374
3672703,synthetic_3,90,1750889745.4334018,1751153944.2980654,264198.8646636009
3672713,synthetic_3,96,1750889745.4335444,1751153944.2980719,264198.8645274639
3672723,synthetic_3,97,1750889745.4336889,1751153944.2980793,264198.86439037323
3672733,synthetic_3,96,1750889745.4338415,1751153944.2980876,264198.86424613
3672743,synthetic_3,89,1750889745.4339814,1751153944.2980947,264198.86411333084
3672753,synthetic_3,90,1750889745.4341195,1751153944.2981012,264198.8639817238
3672763,synthetic_3,98,1750889745.4342666,1751153944.2981076,264198.8638410568
3672773,synthetic_3,104,1750889745.4344082,1751153944.298114,264198.8637058735
3672783,synthetic_3,84,1750889745.4345577,1751153944.2981207,264198.86356306076
3672793,synthetic_3,90,1750889745.4346993,1751153944.2981272,264198.8634278774
3672803,synthetic_3,104,1750889745.4348478,1751153944.2981331,264198.8632853031
3672813,synthetic_3,104,1750889745.4349978,1751153944.2981396,264198.86314177513
3672823,synthetic_3,83,1750889745.4351408,1751153944.298146,264198.8630051613
3672833,synthetic_3,105,1750889745.4352856,1751153944.2981524,264198.8628668785
3672843,synthetic_3,91,1750889745.4354384,1751153944.2981586,264198.8627202511
3672853,synthetic_3,104,1750889745.4356055,1751153944.2981663,264198.86256074905
3672863,synthetic_3,84,1750889745.4357507,1751153944.2981725,264198.862421751
3672873,synthetic_3,90,1750889745.4358902,1751153944.2981794,264198.8622891903
3672883,synthetic_3,104,1750889745.436036,1751153944.2981863,264198.86215019226
3672893,synthetic_3,97,1750889745.4361794,1751153944.298193,264198.8620135784
3672903,synthetic_3,89,1750889745.436322,1751153944.2981994,264198.8618774414
3672913,synthetic_3,90,1750889745.4364681,1751153944.2982054,264198.8617372513
