index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
662005,synthetic_5,101,1751150933.3202581,1751154117.7955322,3184.4752740859985
662015,synthetic_5,79,1751150933.3207276,1751154117.795609,3184.4748814105988
662025,synthetic_5,95,1751150933.3211958,1751154117.7956219,3184.4744260311127
662035,synthetic_5,90,1751150933.3215826,1751154117.7956326,3184.4740500450134
662045,synthetic_5,100,1751150933.32197,1751154117.7956405,3184.4736704826355
662055,synthetic_5,103,1751150933.3223639,1751154117.7956495,3184.473285675049
662065,synthetic_5,83,1751150933.3227303,1751154117.7956579,3184.472927570343
662075,synthetic_5,94,1751150933.3231056,1751154117.795666,3184.472560405731
662085,synthetic_5,103,1751150933.323423,1751154117.7956738,3184.4722509384155
662095,synthetic_5,86,1751150933.323722,1751154117.7956822,3184.4719603061676
662105,synthetic_5,79,1751150933.324031,1751154117.7956898,3184.471658706665
662115,synthetic_5,104,1751150933.3243883,1751154117.7957978,3184.47140955925
662125,synthetic_5,94,1751150933.3246293,1751154117.7958076,3184.471178293228
662135,synthetic_5,88,1751150933.3247795,1751154117.7958233,3184.4710438251495
662145,synthetic_5,96,1751150933.3249254,1751154117.7958302,3184.470904827118
662155,synthetic_5,103,1751150933.3250813,1751154117.7958372,3184.470755815506
662165,synthetic_5,90,1751150933.3252285,1751154117.7958448,3184.470616340637
662175,synthetic_5,83,1751150933.3253808,1751154117.795853,3184.470472097397
662185,synthetic_5,96,1751150933.3255286,1751154117.7958598,3184.4703311920166
662195,synthetic_5,82,1751150933.3256783,1751154117.7958672,3184.470188856125
662205,synthetic_5,95,1751150933.325824,1751154117.795874,3184.470050096512
662215,synthetic_5,102,1751150933.325977,1751154117.7958817,3184.4699046611786
662225,synthetic_5,82,1751150933.3261263,1751154117.7958896,3184.469763278961
662235,synthetic_5,90,1751150933.3262727,1751154117.7958963,3184.469623565674
662245,synthetic_5,96,1751150933.3264186,1751154117.7959092,3184.4694905281067
662255,synthetic_5,82,1751150933.3265643,1751154117.79592,3184.469355583191
662265,synthetic_5,96,1751150933.326711,1751154117.795927,3184.469216108322
662275,synthetic_5,82,1751150933.3268564,1751154117.7959347,3184.4690783023834
662285,synthetic_5,81,1751150933.327002,1751154117.7959414,3184.468939304352
662295,synthetic_5,82,1751150933.3271503,1751154117.7959478,3184.4687974452972
662305,synthetic_5,89,1751150933.3272965,1751154117.7959547,3184.468658208847
662315,synthetic_5,103,1751150933.3274465,1751154117.7959616,3184.4685151576996
662325,synthetic_5,102,1751150933.327599,1751154117.7959685,3184.4683694839478
662335,synthetic_5,83,1751150933.3277543,1751154117.7959769,3184.468222618103
662345,synthetic_5,80,1751150933.3279006,1751154117.7959836,3184.4680829048157
662355,synthetic_5,89,1751150933.328049,1751154117.795998,3184.467949151993
662365,synthetic_5,96,1751150933.3282049,1751154117.7960124,3184.467807531357
662375,synthetic_5,97,1751150933.3283515,1751154117.7960205,3184.4676690101624
662385,synthetic_5,93,1751150933.4175105,1751154117.7960277,3184.378517150879
662395,synthetic_5,90,1751150933.4183667,1751154117.7960346,3184.3776679039
662405,synthetic_5,83,1751150933.4186656,1751154117.7960413,3184.377375602722
662415,synthetic_5,104,1751150933.4189498,1751154117.7960486,3184.377098798752
662425,synthetic_5,96,1751150933.518759,1751154117.796056,3184.2772970199585
662435,synthetic_5,82,1751150933.5189729,1751154117.7960627,3184.2770898342133
662445,synthetic_5,81,1751150933.51918,1751154117.7960694,3184.2768893241882
714435,synthetic_5,100,1751150933.521584,1751154117.7960763,3184.274492263794
662455,synthetic_5,89,1751150933.5194187,1751154117.7960832,3184.276664495468
662465,synthetic_5,90,1751150933.5196905,1751154117.79609,3184.276399374008
714445,synthetic_5,89,1751150933.5217774,1751154117.7960966,3184.2743191719055
714455,synthetic_5,89,1751150933.5219913,1751154117.7961109,3184.274119615555
714465,synthetic_5,90,1751150933.5222213,1751154117.796118,3184.2738966941833
714475,synthetic_5,90,1751150933.5224268,1751154117.7961245,3184.27369761467
714485,synthetic_5,83,1751150933.5226297,1751154117.7961314,3184.273501634598
714495,synthetic_5,97,1751150933.5228515,1751154117.7961388,3184.273287296295
714505,synthetic_5,81,1751150933.523054,1751154117.796146,3184.273092031479
714515,synthetic_5,87,1751150933.523264,1751154117.7961524,3184.2728884220123
714525,synthetic_5,83,1751150933.5234714,1751154117.796159,3184.2726876735687
714535,synthetic_5,90,1751150933.5236695,1751154117.796173,3184.2725036144257
714545,synthetic_5,97,1751150933.5238814,1751154117.7961805,3184.272299051285
714555,synthetic_5,94,1751150933.52409,1751154117.7961876,3184.2720975875854
714565,synthetic_5,102,1751150933.5243006,1751154117.7961946,3184.271893978119
714575,synthetic_5,83,1751150933.5245044,1751154117.7962015,3184.2716970443726
714585,synthetic_5,90,1751150933.5247374,1751154117.7962134,3184.2714760303497
714595,synthetic_5,97,1751150933.5249114,1751154117.7962203,3184.271308898926
714605,synthetic_5,90,1751150933.5250695,1751154117.7962272,3184.2711577415466
714615,synthetic_5,83,1751150933.5252166,1751154117.7962346,3184.2710180282593
714625,synthetic_5,103,1751150933.5253563,1751154117.7962406,3184.2708842754364
714635,synthetic_5,100,1751150933.525489,1751154117.7962477,3184.270758628845
714645,synthetic_5,83,1751150933.5256207,1751154117.7962544,3184.2706336975098
714655,synthetic_5,97,1751150933.5257525,1751154117.7962608,3184.270508289337
714665,synthetic_5,82,1751150933.5258873,1751154117.7962673,3184.2703800201416
714675,synthetic_5,88,1751150933.5260165,1751154117.7962742,3184.2702577114105
714685,synthetic_5,88,1751150933.526147,1751154117.7962804,3184.270133495331
714695,synthetic_5,95,1751150933.5262775,1751154117.796287,3184.2700095176697
714705,synthetic_5,94,1751150933.5264077,1751154117.7962937,3184.2698860168457
714715,synthetic_5,96,1751150933.5265398,1751154117.796306,3184.2697660923004
714725,synthetic_5,103,1751150933.5266776,1751154117.796313,3184.269635438919
662475,synthetic_5,82,1751150933.5200207,1751154117.7963207,3184.2762999534607
714735,synthetic_5,88,1751150933.526809,1751154117.7963333,3184.269524335861
714745,synthetic_5,104,1751150933.5269375,1751154117.7963402,3184.269402742386
714755,synthetic_5,82,1751150933.5270712,1751154117.796347,3184.269275665283
714765,synthetic_5,82,1751150933.5272057,1751154117.7963536,3184.269147872925
714775,synthetic_5,96,1751150933.5273356,1751154117.79636,3184.269024372101
714785,synthetic_5,89,1751150933.5274665,1751154117.7963667,3184.268900156021
714795,synthetic_5,97,1751150933.5276234,1751154117.7963731,3184.2687497138977
714805,synthetic_5,90,1751150933.5277798,1751154117.7963798,3184.26859998703
714815,synthetic_5,89,1751150933.527914,1751154117.7963862,3184.2684721946716
714825,synthetic_5,104,1751150933.5280468,1751154117.7963927,3184.2683458328247
714835,synthetic_5,95,1751150933.5281801,1751154117.7964063,3184.268226146698
714845,synthetic_5,94,1751150933.528312,1751154117.7964132,3184.2681012153625
714855,synthetic_5,101,1751150933.5284483,1751154117.7964199,3184.2679715156555
714865,synthetic_5,102,1751150933.617654,1751154117.7964265,3184.1787724494934
714875,synthetic_5,82,1751150933.617906,1751154117.7964332,3184.1785271167755
714885,synthetic_5,102,1751150933.6180599,1751154117.7964396,3184.1783797740936
714895,synthetic_5,96,1751150933.6182232,1751154117.7964463,3184.178223133087
714905,synthetic_5,82,1751150933.618371,1751154117.7964528,3184.1780817508698
714915,synthetic_5,102,1751150933.6185243,1751154117.7964587,3184.177934408188
714925,synthetic_5,83,1751150933.6186903,1751154117.7964654,3184.177775144577
714935,synthetic_5,88,1751150933.618845,1751154117.7964904,3184.17764544487
714945,synthetic_5,91,1751150933.618997,1751154117.7964973,3184.1775002479553
714955,synthetic_5,90,1751150933.6191533,1751154117.796518,3184.1773648262024
714965,synthetic_5,95,1751150933.6193056,1751154117.7965252,3184.1772196292877
714975,synthetic_5,89,1751150933.6194706,1751154117.796532,3184.177061319351
714985,synthetic_5,103,1751150933.6196334,1751154117.7965386,3184.176905155182
714995,synthetic_5,104,1751150933.6197991,1751154117.7965453,3184.1767461299896
715005,synthetic_5,103,1751150933.6199582,1751154117.7965522,3184.176594018936
715015,synthetic_5,83,1751150933.6211548,1751154117.7965589,3184.175404071808
715025,synthetic_5,90,1751150933.6213305,1751154117.796565,3184.175234556198
715035,synthetic_5,101,1751150933.6215012,1751154117.7965715,3184.175070285797
715045,synthetic_5,101,1751150933.6216745,1751154117.7965786,3184.1749041080475
715055,synthetic_5,96,1751150933.6218593,1751154117.7965863,3184.174726963043
715065,synthetic_5,89,1751150933.6220195,1751154117.7965934,3184.1745738983154
715075,synthetic_5,94,1751150933.6221647,1751154117.7965999,3184.1744351387024
715085,synthetic_5,89,1751150933.6222944,1751154117.796613,3184.174318552017
715095,synthetic_5,96,1751150933.6224303,1751154117.7966201,3184.1741898059845
715105,synthetic_5,89,1751150933.6225667,1751154117.7966275,3184.174060821533
715115,synthetic_5,96,1751150933.6227057,1751154117.7966344,3184.1739287376404
715125,synthetic_5,104,1751150933.6228392,1751154117.7966416,3184.1738023757935
715135,synthetic_5,82,1751150933.6229684,1751154117.7966485,3184.1736800670624
715145,synthetic_5,89,1751150933.6230981,1751154117.7966554,3184.173557281494
715155,synthetic_5,89,1751150933.6232328,1751154117.7966619,3184.1734290122986
715165,synthetic_5,89,1751150933.6233706,1751154117.7966785,3184.1733078956604
715175,synthetic_5,89,1751150933.6235042,1751154117.7966852,3184.1731810569763
715185,synthetic_5,96,1751150933.6236515,1751154117.7966921,3184.1730406284332
715195,synthetic_5,97,1751150933.6237907,1751154117.796699,3184.172908306122
715205,synthetic_5,96,1751150933.6239278,1751154117.7967062,3184.172778367996
715215,synthetic_5,82,1751150933.6240664,1751154117.7967193,3184.1726529598236
715225,synthetic_5,89,1751150933.6242046,1751154117.7967262,3184.1725215911865
715235,synthetic_5,94,1751150933.624341,1751154117.7967331,3184.172392129898
715245,synthetic_5,101,1751150933.7207444,1751154117.7967403,3184.0759959220886
716645,synthetic_5,97,1751150934.1220958,1751154117.7967472,3183.6746513843536
716655,synthetic_5,103,1751150934.1223109,1751154117.7967544,3183.6744434833527
716665,synthetic_5,90,1751150934.1225166,1751154117.7967608,3183.6742441654205
716675,synthetic_5,104,1751150934.1227334,1751154117.7967672,3183.6740338802338
716685,synthetic_5,82,1751150934.1229527,1751154117.796774,3183.673821210861
716695,synthetic_5,103,1751150934.1231475,1751154117.7967803,3183.6736328601837
716705,synthetic_5,101,1751150934.1233687,1751154117.7967873,3183.673418521881
716715,synthetic_5,81,1751150934.123579,1751154117.796794,3183.6732149124146
716725,synthetic_5,96,1751150934.1237912,1751154117.7968,3183.6730086803436
716735,synthetic_5,102,1751150934.123969,1751154117.7968128,3183.672843694687
716745,synthetic_5,96,1751150934.1241753,1751154117.7968202,3183.672644853592
716755,synthetic_5,89,1751150934.1243913,1751154117.7968264,3183.6724350452423
716765,synthetic_5,83,1751150934.1246293,1751154117.7968333,3183.672204017639
716775,synthetic_5,82,1751150934.1248338,1751154117.7968464,3183.67201256752
716785,synthetic_5,88,1751150934.1250496,1751154117.7968528,3183.6718032360077
716795,synthetic_5,94,1751150934.1252644,1751154117.796859,3183.671594619751
716805,synthetic_5,96,1751150934.125457,1751154117.796866,3183.671408891678
716815,synthetic_5,96,1751150934.125701,1751154117.7968729,3183.6711719036102
716825,synthetic_5,103,1751150934.125905,1751154117.7968795,3183.6709744930267
716835,synthetic_5,97,1751150934.1260917,1751154117.7968884,3183.6707966327667
716845,synthetic_5,89,1751150934.1262848,1751154117.796895,3183.670610189438
716855,synthetic_5,83,1751150934.1264682,1751154117.796902,3183.6704337596893
716865,synthetic_5,102,1751150934.1266236,1751154117.796915,3183.6702914237976
716875,synthetic_5,83,1751150934.1267908,1751154117.7969224,3183.6701316833496
716885,synthetic_5,82,1751150934.1269336,1751154117.796929,3183.6699953079224
716895,synthetic_5,101,1751150934.127066,1751154117.7969358,3183.6698698997498
716905,synthetic_5,89,1751150934.1271954,1751154117.796942,3183.6697466373444
716915,synthetic_5,95,1751150934.1273253,1751154117.79695,3183.6696248054504
716925,synthetic_5,96,1751150934.1274567,1751154117.7969568,3183.6695001125336
716935,synthetic_5,96,1751150934.1275904,1751154117.7969632,3183.6693727970123
716945,synthetic_5,96,1751150934.127723,1751154117.7969694,3183.6692464351654
716955,synthetic_5,94,1751150934.127857,1751154117.7969763,3183.6691193580627
716965,synthetic_5,96,1751150934.1279879,1751154117.796983,3183.668995141983
716975,synthetic_5,102,1751150934.128124,1751154117.7969897,3183.6688656806946
716985,synthetic_5,82,1751150934.1282537,1751154117.7970088,3183.668755054474
716995,synthetic_5,80,1751150934.128387,1751154117.797016,3183.6686289310455
717005,synthetic_5,95,1751150934.2189038,1751154117.797023,3183.578119277954
717015,synthetic_5,88,1751150934.2192602,1751154117.7970307,3183.577770471573
717025,synthetic_5,96,1751150934.2194538,1751154117.7970374,3183.577583551407
717035,synthetic_5,83,1751150934.2196405,1751154117.7970445,3183.577404022217
717045,synthetic_5,95,1751150934.2198265,1751154117.797051,3183.5772244930267
717055,synthetic_5,102,1751150934.220051,1751154117.7970576,3183.5770065784454
717065,synthetic_5,103,1751150934.2202332,1751154117.7970648,3183.5768315792084
717075,synthetic_5,81,1751150934.2204127,1751154117.7970722,3183.5766594409943
717085,synthetic_5,82,1751150934.220643,1751154117.7970788,3183.576435804367
717095,synthetic_5,81,1751150934.2208352,1751154117.797085,3183.5762498378754
717105,synthetic_5,89,1751150934.2210307,1751154117.7970912,3183.5760605335236
717115,synthetic_5,87,1751150934.2212176,1751154117.7971053,3183.5758876800537
717125,synthetic_5,83,1751150934.2213993,1751154117.797113,3183.575713634491
717135,synthetic_5,82,1751150934.2215874,1751154117.7971194,3183.5755319595337
717145,synthetic_5,102,1751150934.2217824,1751154117.797126,3183.575343608856
717155,synthetic_5,82,1751150934.2219734,1751154117.797133,3183.575159549713
717165,synthetic_5,83,1751150934.2221603,1751154117.7971394,3183.5749790668488
717175,synthetic_5,102,1751150934.2223496,1751154117.7971458,3183.5747961997986
717185,synthetic_5,95,1751150934.2225435,1751154117.7971525,3183.574609041214
717195,synthetic_5,104,1751150934.2227533,1751154117.7971597,3183.5744063854218
717205,synthetic_5,81,1751150934.2229474,1751154117.797173,3183.574225664139
717215,synthetic_5,82,1751150934.2231302,1751154117.7971797,3183.574049472809
717225,synthetic_5,96,1751150934.2233143,1751154117.7971854,3183.5738711357117
717235,synthetic_5,95,1751150934.2234943,1751154117.7971923,3183.5736980438232
717245,synthetic_5,102,1751150934.2236705,1751154117.7972045,3183.573534011841
717255,synthetic_5,104,1751150934.2238445,1751154117.7972114,3183.573366880417
717265,synthetic_5,88,1751150934.2240255,1751154117.7972178,3183.573192358017
717275,synthetic_5,102,1751150934.224205,1751154117.7972245,3183.573019504547
717285,synthetic_5,82,1751150934.2243824,1751154117.7972324,3183.5728499889374
717295,synthetic_5,103,1751150934.2245388,1751154117.7972388,3183.572700023651
717305,synthetic_5,87,1751150934.2246747,1751154117.7972457,3183.5725710392
717315,synthetic_5,94,1751150934.2248075,1751154117.7972522,3183.572444677353
717325,synthetic_5,83,1751150934.2249405,1751154117.7972593,3183.572318792343
717335,synthetic_5,93,1751150934.225069,1751154117.7972658,3183.5721967220306
717345,synthetic_5,97,1751150934.2252002,1751154117.7972727,3183.572072505951
717355,synthetic_5,83,1751150934.2253346,1751154117.79728,3183.5719454288483
717365,synthetic_5,89,1751150934.2254639,1751154117.797286,3183.571822166443
717375,synthetic_5,90,1751150934.2256017,1751154117.7972996,3183.571697950363
717385,synthetic_5,82,1751150934.2257361,1751154117.7973063,3183.5715701580048
717395,synthetic_5,103,1751150934.2258706,1751154117.797313,3183.5714423656464
717405,synthetic_5,83,1751150934.2260032,1751154117.7973197,3183.5713164806366
717415,synthetic_5,95,1751150934.226137,1751154117.7973266,3183.5711896419525
717425,synthetic_5,102,1751150934.2262726,1751154117.7973394,3183.5710668563843
717435,synthetic_5,103,1751150934.2264078,1751154117.7973475,3183.5709397792816
