index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
330581,synthetic_1,95,1751150837.625059,1751154697.8022823,3860.177223682404,1751156632.7631576,1934.9608752727509
330591,synthetic_1,97,1751150837.6252558,1751154697.8023424,3860.1770865917206,1751156632.7631576,1934.960815191269
330601,synthetic_1,82,1751150837.6254618,1751154697.802353,3860.176890850067,1751156632.7631576,1934.9608047008514
330611,synthetic_1,104,1751150837.6256564,1751154697.8023608,3860.176704406738,1751156632.7631576,1934.9607968330383
330621,synthetic_1,104,1751150837.6258562,1751154697.8023696,3860.176513433456,1751156632.7631576,1934.960788011551
330631,synthetic_1,83,1751150837.6260345,1751154697.8023777,3860.176343202591,1751156632.7631576,1934.9607799053192
330641,synthetic_1,82,1751150837.6262498,1751154697.8023849,3860.1761350631714,1751156632.7631576,1934.9607727527618
330651,synthetic_1,90,1751150837.626449,1751154697.8023918,3860.17594242096,1751156632.7631576,1934.960765838623
330661,synthetic_1,90,1751150837.6266644,1751154697.8023984,3860.175734043121,1751156632.7631576,1934.9607591629028
330671,synthetic_1,102,1751150837.626867,1751154697.8024056,3860.1755385398874,1751156632.7631576,1934.9607520103455
314091,synthetic_1,89,1751150837.6248045,1751154697.802413,3860.177608728409,1751156632.7631576,1934.9607446193695
330681,synthetic_1,87,1751150837.62709,1751154697.80242,3860.175330162048,1751156632.7631576,1934.9607377052307
330691,synthetic_1,88,1751150837.627258,1751154697.8024266,3860.175168514252,1751156632.7631576,1934.9607310295105
314101,synthetic_1,98,1751150837.6250052,1751154697.8024335,3860.177428245544,1751156632.7631576,1934.9607241153717
330701,synthetic_1,101,1751150837.6274786,1751154697.8024435,3860.174965143204,1751156632.7631576,1934.9607141017914
314111,synthetic_1,101,1751150837.6251843,1751154697.8024516,3860.177267313004,1751156632.7631576,1934.9607059955597
330711,synthetic_1,103,1751150837.6276884,1751154697.8024592,3860.1747708320618,1751156632.7631576,1934.9606983661652
314121,synthetic_1,93,1751150837.625404,1751154697.802467,3860.177062988281,1751156632.7631576,1934.960690498352
314131,synthetic_1,104,1751150837.6256075,1751154697.8024745,3860.176866769791,1751156632.7631576,1934.960683107376
330721,synthetic_1,89,1751150837.6278725,1751154697.8024817,3860.174609184265,1751156632.7631576,1934.9606759548187
314141,synthetic_1,103,1751150837.6258106,1751154697.8024886,3860.176677942276,1751156632.7631576,1934.96066904068
314151,synthetic_1,83,1751150837.6260188,1751154697.8024974,3860.176478624344,1751156632.7631576,1934.9606602191925
330731,synthetic_1,81,1751150837.6281557,1751154697.8025043,3860.1743490695953,1751156632.7631576,1934.9606533050537
330741,synthetic_1,101,1751150837.628372,1751154697.8025122,3860.17414021492,1751156632.7631576,1934.9606454372406
314161,synthetic_1,88,1751150837.626222,1751154697.802519,3860.176297426224,1751156632.7631576,1934.9606385231018
314171,synthetic_1,79,1751150837.6264374,1751154697.802527,3860.176089525223,1751156632.7631576,1934.9606306552887
314181,synthetic_1,89,1751150837.6266298,1751154697.802534,3860.175904035568,1751156632.7631576,1934.9606235027313
314191,synthetic_1,82,1751150837.6268537,1751154697.8025432,3860.1756896972656,1751156632.7631576,1934.9606144428253
330751,synthetic_1,89,1751150837.628596,1751154697.8025506,3860.173954486847,1751156632.7631576,1934.9606070518494
330761,synthetic_1,90,1751150837.6287966,1751154697.8025577,3860.1737611293793,1751156632.7631576,1934.960599899292
330771,synthetic_1,90,1751150837.6289418,1751154697.8025649,3860.173623085022,1751156632.7631576,1934.9605927467346
314201,synthetic_1,82,1751150837.6270669,1751154697.8025718,3860.175504922867,1751156632.7631576,1934.9605858325958
314211,synthetic_1,88,1751150837.6272497,1751154697.8025784,3860.175328969955,1751156632.7631576,1934.9605791568756
314221,synthetic_1,83,1751150837.6274004,1751154697.8025858,3860.175185441971,1751156632.7631576,1934.9605717658997
314231,synthetic_1,104,1751150837.6275475,1751154697.8025928,3860.1750452518463,1751156632.7631576,1934.9605648517609
314241,synthetic_1,90,1751150837.6277106,1751154697.8026004,3860.1748898029327,1751156632.7631576,1934.9605572223663
314251,synthetic_1,97,1751150837.6278658,1751154697.8026073,3860.174741506577,1751156632.7631576,1934.9605503082275
314261,synthetic_1,80,1751150837.628032,1751154697.8026145,3860.174582481384,1751156632.7631576,1934.9605431556702
314271,synthetic_1,95,1751150837.628188,1751154697.8026216,3860.174433708191,1751156632.7631576,1934.9605360031128
314281,synthetic_1,95,1751150837.6283507,1751154697.8026288,3860.1742780208583,1751156632.7631576,1934.9605288505554
330781,synthetic_1,102,1751150837.629098,1751154697.802637,3860.1735394001007,1751156632.7631576,1934.9605205059052
330791,synthetic_1,102,1751150837.6292386,1751154697.8026454,3860.1734068393703,1751156632.7631576,1934.9605121612549
314291,synthetic_1,94,1751150837.7178607,1751154697.8026528,3860.084792137146,1751156632.7631576,1934.960504770279
330801,synthetic_1,90,1751150837.629388,1751154697.802661,3860.173273086548,1751156632.7631576,1934.9604966640472
314301,synthetic_1,90,1751150837.7182512,1751154697.802668,3860.084416627884,1751156632.7631576,1934.9604895114899
330811,synthetic_1,81,1751150837.629543,1751154697.8026748,3860.1731317043295,1751156632.7631576,1934.9604828357697
330821,synthetic_1,103,1751150837.6296782,1751154697.8026814,3860.173003196716,1751156632.7631576,1934.9604761600494
314311,synthetic_1,97,1751150837.7184415,1751154697.8026886,3860.084247112274,1751156632.7631576,1934.960469007492
