index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
53001,synthetic_1,96,1751153509.1217158,1751154739.6775117,1230.5557959079742,1751154907.0349844,167.35747265815735
53011,synthetic_1,82,1751153509.121935,1751154739.677584,1230.555649280548,1751154907.0349844,167.35740041732788
53021,synthetic_1,102,1751153509.1220932,1751154739.6775975,1230.555504322052,1751154907.0349844,167.35738682746887
53031,synthetic_1,102,1751153509.1222486,1751154739.6776092,1230.5553605556488,1751154907.0349844,167.3573751449585
53041,synthetic_1,100,1751153509.122416,1751154739.67762,1230.5552039146423,1751154907.0349844,167.35736441612244
53051,synthetic_1,96,1751153509.1225717,1751154739.677631,1230.5550591945648,1751154907.0349844,167.3573534488678
53061,synthetic_1,89,1751153509.1227105,1751154739.6776414,1230.5549309253693,1751154907.0349844,167.35734295845032
53071,synthetic_1,86,1751153509.122842,1751154739.6776512,1230.5548090934751,1751154907.0349844,167.35733318328857
53081,synthetic_1,82,1751153509.1229713,1751154739.6776602,1230.5546889305117,1751154907.0349844,167.35732412338257
53091,synthetic_1,87,1751153509.123098,1751154739.677678,1230.5545799732208,1751154907.0349844,167.35730624198914
53101,synthetic_1,81,1751153509.123229,1751154739.6776874,1230.5544583797457,1751154907.0349844,167.35729694366455
53111,synthetic_1,94,1751153509.1233597,1751154739.677698,1230.5543382167816,1751154907.0349844,167.35728645324707
53121,synthetic_1,89,1751153509.1234934,1751154739.677708,1230.5542147159576,1751154907.0349844,167.35727643966675
53131,synthetic_1,79,1751153509.1236258,1751154739.6777182,1230.5540924072266,1751154907.0349844,167.35726618766785
53141,synthetic_1,101,1751153509.1237636,1751154739.677729,1230.553965091705,1751154907.0349844,167.3572554588318
53151,synthetic_1,96,1751153509.1238956,1751154739.6777394,1230.5538437366486,1751154907.0349844,167.3572449684143
53161,synthetic_1,89,1751153509.1240258,1751154739.6777525,1230.5537266731262,1751154907.0349844,167.35723185539246
53171,synthetic_1,94,1751153509.124169,1751154739.6777627,1230.553593635559,1751154907.0349844,167.35722160339355
53181,synthetic_1,101,1751153509.1243134,1751154739.6777723,1230.553458929062,1751154907.0349844,167.3572120666504
53191,synthetic_1,81,1751153509.1244483,1751154739.6777823,1230.5533339977264,1751154907.0349844,167.35720205307007
53201,synthetic_1,82,1751153509.1245978,1751154739.6777918,1230.5531940460205,1751154907.0349844,167.3571925163269
53211,synthetic_1,82,1751153509.1247263,1751154739.6778011,1230.553074836731,1751154907.0349844,167.35718321800232
53221,synthetic_1,81,1751153509.1248548,1751154739.6778126,1230.5529577732086,1751154907.0349844,167.35717177391052
53231,synthetic_1,94,1751153509.1249924,1751154739.6778224,1230.5528299808502,1751154907.0349844,167.35716199874878
