index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
68663,synthetic_3,81,1751154539.3281643,1751154660.794651,121.4664866924286,1751156870.51764,2209.7229890823364
68673,synthetic_3,101,1751154539.3283026,1751154660.7946854,121.4663827419281,1751156870.51764,2209.722954750061
61403,synthetic_3,88,1751154525.524649,1751154660.7946944,135.27004551887512,1751156870.51764,2209.722945690155
61413,synthetic_3,102,1751154525.5248022,1751154660.7947018,135.2698996067047,1751156870.51764,2209.722938299179
61423,synthetic_3,80,1751154525.524959,1751154660.794709,135.26974964141846,1751156870.51764,2209.7229311466217
61433,synthetic_3,94,1751154525.525108,1751154660.7947206,135.26961278915405,1751156870.51764,2209.7229194641113
61443,synthetic_3,95,1751154525.5252624,1751154660.7947288,135.26946640014648,1751156870.51764,2209.7229113578796
61453,synthetic_3,89,1751154525.5254145,1751154660.7947352,135.26932072639465,1751156870.51764,2209.722904920578
61463,synthetic_3,103,1751154525.5255718,1751154660.794742,135.26917004585266,1751156870.51764,2209.722898006439
61473,synthetic_3,102,1751154525.525722,1751154660.7947483,135.26902627944946,1751156870.51764,2209.722891807556
61483,synthetic_3,103,1751154525.5258791,1751154660.7947545,135.2688753604889,1751156870.51764,2209.722885608673
61493,synthetic_3,82,1751154525.5260377,1751154660.7947612,135.26872372627258,1751156870.51764,2209.722878932953
68683,synthetic_3,80,1751154539.328438,1751154660.7947674,121.46632933616638,1751156870.51764,2209.72287273407
61503,synthetic_3,79,1751154525.5261903,1751154660.794775,135.26858472824097,1751156870.51764,2209.7228651046753
61513,synthetic_3,89,1751154525.5263402,1751154660.7947812,135.26844096183777,1751156870.51764,2209.7228589057922
68693,synthetic_3,102,1751154539.5203402,1751154660.7947874,121.2744472026825,1751156870.51764,2209.722852706909
61523,synthetic_3,89,1751154525.5265005,1751154660.7947934,135.26829290390015,1751156870.51764,2209.7228467464447
61533,synthetic_3,101,1751154525.526651,1751154660.794801,135.26815009117126,1751156870.51764,2209.72283911705
61543,synthetic_3,102,1751154525.5268054,1751154660.7948089,135.26800346374512,1751156870.51764,2209.722831249237
61553,synthetic_3,82,1751154525.5269582,1751154660.7948153,135.26785707473755,1751156870.51764,2209.7228248119354
61563,synthetic_3,93,1751154525.527109,1751154660.794821,135.26771211624146,1751156870.51764,2209.7228190898895
61573,synthetic_3,103,1751154525.5272665,1751154660.7948277,135.26756119728088,1751156870.51764,2209.7228124141693
61583,synthetic_3,103,1751154525.5274365,1751154660.794834,135.26739764213562,1751156870.51764,2209.7228062152863
61593,synthetic_3,101,1751154525.5275848,1751154660.7948403,135.26725554466248,1751156870.51764,2209.7227997779846
61603,synthetic_3,89,1751154525.5277348,1751154660.7948463,135.26711177825928,1751156870.51764,2209.72279381752
61613,synthetic_3,89,1751154525.5279083,1751154660.794853,135.26694464683533,1751156870.51764,2209.7227871418
