index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
47152,synthetic_2,94,1751154980.721944,1751155002.0775917,21.355647802352905,1751155854.212779,852.1351873874664
47250,synthetic_0,95,1751154980.7234466,1751155002.0776498,21.35420322418213,1751155854.212779,852.1351292133331
47260,synthetic_0,96,1751154980.723585,1751155002.07766,21.35407543182373,1751155854.212779,852.1351189613342
47270,synthetic_0,94,1751154980.723722,1751155002.0776682,21.353946208953857,1751155854.212779,852.1351108551025
47280,synthetic_0,82,1751154980.7238553,1751155002.0776758,21.35382056236267,1751155854.212779,852.135103225708
47290,synthetic_0,96,1751154980.7239945,1751155002.077683,21.353688716888428,1751155854.212779,852.1350960731506
47300,synthetic_0,82,1751154980.7241335,1751155002.07769,21.353556394577023,1751155854.212779,852.1350891590118
47162,synthetic_2,101,1751154980.7221203,1751155002.0776982,21.35557794570923,1751155854.212779,852.1350808143616
47310,synthetic_0,81,1751154980.724268,1751155002.0777054,21.35343742370605,1751155854.212779,852.1350736618042
47320,synthetic_0,94,1751154980.724412,1751155002.0777123,21.35330057144165,1751155854.212779,852.1350667476654
47330,synthetic_0,88,1751154980.7246473,1751155002.0777192,21.35307192802429,1751155854.212779,852.1350598335266
47340,synthetic_0,80,1751154980.7247808,1751155002.077726,21.35294532775879,1751155854.212779,852.1350531578064
47350,synthetic_0,87,1751154980.724939,1751155002.0777326,21.3527934551239,1751155854.212779,852.1350464820862
47360,synthetic_0,99,1751154980.7250805,1751155002.07774,21.352659702301025,1751155854.212779,852.1350390911102
47370,synthetic_0,94,1751154980.7252152,1751155002.0777469,21.352531671524048,1751155854.212779,852.1350321769714
47380,synthetic_0,92,1751154980.725348,1751155002.0777545,21.35240626335144,1751155854.212779,852.1350245475769
47390,synthetic_0,100,1751154980.7254815,1751155002.0777626,21.35228109359741,1751155854.212779,852.1350164413452
47400,synthetic_0,94,1751154980.7256205,1751155002.07777,21.352149486541748,1751155854.212779,852.1350090503693
47410,synthetic_0,102,1751154980.725759,1751155002.077777,21.352017879486084,1751155854.212779,852.1350021362305
47420,synthetic_0,81,1751154980.725892,1751155002.077784,21.35189199447632,1751155854.212779,852.1349949836731
47430,synthetic_0,94,1751154980.7260275,1751155002.0777907,21.351763248443604,1751155854.212779,852.1349883079529
47172,synthetic_2,103,1751154980.722289,1751155002.077798,21.35550880432129,1751155854.212779,852.1349811553955
47440,synthetic_0,88,1751154980.7261646,1751155002.0778067,21.35164213180542,1751155854.212779,852.1349723339081
47450,synthetic_0,103,1751154980.7262957,1751155002.0778131,21.35151743888855,1751155854.212779,852.1349658966064
47460,synthetic_0,99,1751154980.726433,1751155002.0778198,21.3513867855072,1751155854.212779,852.1349592208862
47470,synthetic_0,81,1751154980.726575,1751155002.0778272,21.351252555847168,1751155854.212779,852.1349518299103
47480,synthetic_0,103,1751154980.7267118,1751155002.077834,21.3511221408844,1751155854.212779,852.1349451541901
47490,synthetic_0,102,1751154980.7268455,1751155002.077841,21.35099530220032,1751155854.212779,852.1349380016327
47500,synthetic_0,94,1751154980.7269845,1751155002.0778477,21.350863456726078,1751155854.212779,852.1349313259125
47510,synthetic_0,81,1751154980.727116,1751155002.0778544,21.35073828697205,1751155854.212779,852.1349246501923
47520,synthetic_0,87,1751154980.727254,1751155002.0778618,21.35060787200928,1751155854.212779,852.1349172592163
36910,synthetic_0,93,1751154972.62123,1751155002.077877,29.456647157669067,1751155854.212779,852.1349020004272
36920,synthetic_0,94,1751154972.6214485,1751155002.0778835,29.45643520355225,1751155854.212779,852.1348955631256
36930,synthetic_0,81,1751154972.621652,1751155002.077891,29.456239223480225,1751155854.212779,852.1348879337311
36940,synthetic_0,94,1751154972.621864,1751155002.0778978,29.45603370666504,1751155854.212779,852.1348812580109
36950,synthetic_0,82,1751154972.6220767,1751155002.0779045,29.45582771301269,1751155854.212779,852.1348745822906
36960,synthetic_0,96,1751154972.6222615,1751155002.077913,29.45565152168274,1751155854.212779,852.1348659992218
47182,synthetic_2,82,1751154980.7224412,1751155002.0779216,21.355480432510376,1751155854.212779,852.134857416153
47530,synthetic_0,95,1751154980.727394,1751155002.0779278,21.35053396224976,1751155854.212779,852.1348512172699
47540,synthetic_0,80,1751154980.7275374,1751155002.0779345,21.35039710998535,1751155854.212779,852.1348445415497
47550,synthetic_0,101,1751154980.7276747,1751155002.0779412,21.350266456604004,1751155854.212779,852.1348378658295
47560,synthetic_0,80,1751154980.72781,1751155002.0779483,21.350138187408447,1751155854.212779,852.1348307132721
47570,synthetic_0,82,1751154980.727944,1751155002.077955,21.350010871887207,1751155854.212779,852.1348240375519
47580,synthetic_0,103,1751154980.7280836,1751155002.0779622,21.34987854957581,1751155854.212779,852.1348168849945
47590,synthetic_0,82,1751154980.7282178,1751155002.0779707,21.34975290298462,1751155854.212779,852.1348083019257
47192,synthetic_2,95,1751154980.7226017,1751155002.0779786,21.35537695884705,1751155854.212779,852.1348004341125
47202,synthetic_2,87,1751154980.722773,1751155002.0779855,21.355212450027462,1751155854.212779,852.1347935199738
47212,synthetic_2,99,1751154980.722925,1751155002.0779922,21.355067253112797,1751155854.212779,852.1347868442535
47222,synthetic_2,88,1751154980.7230637,1751155002.0779994,21.35493564605713,1751155854.212779,852.1347796916962
47232,synthetic_2,89,1751154980.7231991,1751155002.0780065,21.35480737686157,1751155854.212779,852.1347725391388
47242,synthetic_2,95,1751154980.723337,1751155002.0780146,21.35467767715454,1751155854.212779,852.1347644329071
47252,synthetic_2,96,1751154980.7234747,1751155002.0780215,21.35454678535461,1751155854.212779,852.1347575187683
47262,synthetic_2,88,1751154980.7236114,1751155002.0780282,21.354416847229004,1751155854.212779,852.1347508430481
47272,synthetic_2,100,1751154980.723752,1751155002.0780356,21.35428357124329,1751155854.212779,852.1347434520721
47282,synthetic_2,94,1751154980.723882,1751155002.0780425,21.35416054725647,1751155854.212779,852.1347365379333
47292,synthetic_2,89,1751154980.7240243,1751155002.0780492,21.35402488708496,1751155854.212779,852.1347298622131
47302,synthetic_2,89,1751154980.7241588,1751155002.078056,21.35389709472656,1751155854.212779,852.1347229480743
47312,synthetic_2,82,1751154980.7242973,1751155002.0780623,21.35376501083374,1751155854.212779,852.1347167491913
47322,synthetic_2,99,1751154980.72444,1751155002.078069,21.353628873825077,1751155854.212779,852.1347100734711
47332,synthetic_2,85,1751154980.7246735,1751155002.0780756,21.35340189933777,1751155854.212779,852.1347033977509
47342,synthetic_2,101,1751154980.7248094,1751155002.0780828,21.353273391723636,1751155854.212779,852.1346962451935
47352,synthetic_2,95,1751154980.7249658,1751155002.0780914,21.35312557220459,1751155854.212779,852.1346876621246
47362,synthetic_2,82,1751154980.7251074,1751155002.078098,21.35299062728882,1751155854.212779,852.1346809864044
47372,synthetic_2,82,1751154980.7252402,1751155002.0781047,21.352864503860477,1751155854.212779,852.1346743106842
47382,synthetic_2,95,1751154980.7253752,1751155002.0781112,21.352735996246334,1751155854.212779,852.1346678733826
47392,synthetic_2,82,1751154980.7255118,1751155002.078118,21.352606296539307,1751155854.212779,852.1346609592438
47402,synthetic_2,82,1751154980.7256486,1751155002.0781257,21.35247683525085,1751155854.212779,852.1346533298492
47412,synthetic_2,94,1751154980.7257855,1751155002.078134,21.352348566055294,1751155854.212779,852.134644985199
