index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
153982,synthetic_2,81,1751155009.322227,1751155014.6258235,5.30359673500061,1751155384.860301,370.234477519989
153992,synthetic_2,81,1751155009.322857,1751155014.62591,5.303053140640259,1751155384.860301,370.2343909740448
154002,synthetic_2,103,1751155009.3232446,1751155014.6259224,5.302677869796753,1751155384.860301,370.2343785762787
154012,synthetic_2,96,1751155009.3236072,1751155014.6259367,5.3023295402526855,1751155384.860301,370.23436427116394
154022,synthetic_2,99,1751155009.323996,1751155014.625946,5.301949977874756,1751155384.860301,370.23435497283936
154032,synthetic_2,102,1751155009.324365,1751155014.6259544,5.301589488983154,1751155384.860301,370.2343466281891
154040,synthetic_0,83,1751155009.4198947,1751155014.6259627,5.20606803894043,1751155384.860301,370.2343382835388
154050,synthetic_0,82,1751155009.4202452,1751155014.62597,5.205724954605103,1751155384.860301,370.23433113098145
154041,synthetic_1,96,1751155009.4199193,1751155014.6259792,5.20605993270874,1751155384.860301,370.23432183265686
154051,synthetic_1,82,1751155009.4202776,1751155014.625989,5.205711364746094,1751155384.860301,370.2343120574951
154060,synthetic_0,95,1751155009.4205809,1751155014.6259964,5.205415487289429,1751155384.860301,370.23430466651917
154070,synthetic_0,83,1751155009.4209802,1751155014.6260045,5.205024242401123,1751155384.860301,370.2342965602875
154080,synthetic_0,88,1751155009.4212115,1751155014.6260118,5.204800367355347,1751155384.860301,370.2342891693115
154090,synthetic_0,102,1751155009.4214392,1751155014.626021,5.2045814990997314,1751155384.860301,370.2342801094055
154061,synthetic_1,96,1751155009.4206538,1751155014.6260288,5.205374956130981,1751155384.860301,370.2342722415924
154071,synthetic_1,94,1751155009.4210064,1751155014.6260366,5.205030202865601,1751155384.860301,370.2342643737793
154081,synthetic_1,83,1751155009.4212592,1751155014.6260448,5.204785585403442,1751155384.860301,370.2342562675476
154091,synthetic_1,97,1751155009.421455,1751155014.6260526,5.2045979499816895,1751155384.860301,370.2342483997345
154101,synthetic_1,82,1751155009.4216998,1751155014.62606,5.204360246658325,1751155384.860301,370.23424100875854
154111,synthetic_1,102,1751155009.4219513,1751155014.6260693,5.204118013381958,1751155384.860301,370.23423171043396
154121,synthetic_1,103,1751155009.4221635,1751155014.6260774,5.203913688659668,1751155384.860301,370.23422360420227
154100,synthetic_0,82,1751155009.4216466,1751155014.6260853,5.20443868637085,1751155384.860301,370.23421573638916
154110,synthetic_0,103,1751155009.4219248,1751155014.626093,5.204168081283569,1751155384.860301,370.23420810699463
154120,synthetic_0,90,1751155009.4221475,1751155014.6261008,5.203953266143799,1751155384.860301,370.2342002391815
154130,synthetic_0,90,1751155009.4223611,1751155014.6261086,5.203747510910034,1751155384.860301,370.2341923713684
154140,synthetic_0,92,1751155009.422576,1751155014.6261172,5.203541278839111,1751155384.860301,370.23418378829956
154150,synthetic_0,96,1751155009.422785,1751155014.626125,5.203340291976929,1751155384.860301,370.23417592048645
154131,synthetic_1,103,1751155009.422377,1751155014.626133,5.203755855560303,1751155384.860301,370.23416805267334
154141,synthetic_1,96,1751155009.4225936,1751155014.6261406,5.20354700088501,1751155384.860301,370.2341604232788
154160,synthetic_0,103,1751155009.4230046,1751155014.6261487,5.203144073486328,1751155384.860301,370.2341523170471
154170,synthetic_0,99,1751155009.4232547,1751155014.6261563,5.202901601791382,1751155384.860301,370.2341446876526
154151,synthetic_1,97,1751155009.4227986,1751155014.626164,5.203365325927734,1751155384.860301,370.23413705825806
154161,synthetic_1,97,1751155009.4230204,1751155014.6261714,5.203150987625122,1751155384.860301,370.2341296672821
154171,synthetic_1,104,1751155009.4233012,1751155014.6261792,5.202877998352051,1751155384.860301,370.234121799469
154181,synthetic_1,104,1751155009.4235165,1751155014.626187,5.202670812606812,1751155384.860301,370.2341139316559
154191,synthetic_1,102,1751155009.423764,1751155014.6261945,5.202430486679077,1751155384.860301,370.23410654067993
154201,synthetic_1,103,1751155009.4239786,1751155014.626202,5.202223300933838,1751155384.860301,370.2340989112854
154180,synthetic_0,87,1751155009.4235015,1751155014.6262093,5.202707767486572,1751155384.860301,370.234091758728
154190,synthetic_0,104,1751155009.4237337,1751155014.6262162,5.2024827003479,1751155384.860301,370.23408484458923
154200,synthetic_0,82,1751155009.423954,1751155014.626223,5.2022693157196045,1751155384.860301,370.23407793045044
154210,synthetic_0,103,1751155009.4241743,1751155014.6262307,5.202056407928467,1751155384.860301,370.2340703010559
154220,synthetic_0,96,1751155009.4244263,1751155014.6262388,5.201812505722046,1751155384.860301,370.2340621948242
154230,synthetic_0,101,1751155009.517001,1751155014.6262465,5.109245538711548,1751155384.860301,370.2340545654297
154240,synthetic_0,104,1751155009.5172274,1751155014.6262536,5.109026193618774,1751155384.860301,370.2340474128723
154211,synthetic_1,81,1751155009.424199,1751155014.626261,5.202061653137207,1751155384.860301,370.23404002189636
154221,synthetic_1,101,1751155009.4244409,1751155014.6262686,5.201827764511108,1751155384.860301,370.23403239250183
154231,synthetic_1,97,1751155009.5170166,1751155014.6262765,5.109259843826294,1751155384.860301,370.2340245246887
154250,synthetic_0,89,1751155009.5174785,1751155014.6262844,5.108805894851685,1751155384.860301,370.2340166568756
154260,synthetic_0,102,1751155009.517727,1751155014.6262913,5.108564376831055,1751155384.860301,370.2340097427368
154270,synthetic_0,101,1751155009.5180223,1751155014.626299,5.108276128768921,1751155384.860301,370.2340021133423
154241,synthetic_1,85,1751155009.517279,1751155014.6263058,5.109026908874512,1751155384.860301,370.2339951992035
154251,synthetic_1,104,1751155009.5174985,1751155014.6263127,5.108814477920532,1751155384.860301,370.2339882850647
154261,synthetic_1,94,1751155009.517747,1751155014.6263204,5.1085734367370605,1751155384.860301,370.23398065567017
154271,synthetic_1,95,1751155009.518058,1751155014.6263316,5.108273506164551,1751155384.860301,370.23396944999695
154281,synthetic_1,103,1751155009.518262,1751155014.626341,5.108079195022583,1751155384.860301,370.2339599132538
154291,synthetic_1,97,1751155009.5185473,1751155014.6263504,5.107803106307983,1751155384.860301,370.2339506149292
154280,synthetic_0,90,1751155009.5182383,1751155014.6263604,5.108122110366821,1751155384.860301,370.2339406013489
154290,synthetic_0,81,1751155009.518532,1751155014.62637,5.107837915420532,1751155384.860301,370.2339310646057
154300,synthetic_0,103,1751155009.5187914,1751155014.6263807,5.107589244842529,1751155384.860301,370.23392033576965
