pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,t_bucket
consumer-sts-0,skew,B0-R100-20260224-010807_0,460,23,7.666667,30.0,230,1145.617,1575.848,6.5,14.6,870.864,6.0,2.0,2.333333,6023,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,870
consumer-sts-0,skew,B0-R100-20260224-010807_0,403,27,6.716667,30.0,172,963.867,1775.751,6.7,14.6,900.894,4.0,2.0,3.5,6195,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,900
consumer-sts-0,skew,B0-R100-20260224-010807_0,384,17,6.4,30.0,210,616.705,1094.691,6.4,14.6,930.923,4.0,3.0,5.25,6405,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,930
consumer-sts-0,skew,B0-R100-20260224-010807_0,434,22,7.233333,30.0,224,995.765,1444.967,7.3,14.6,960.954,5.0,2.0,2.8,6629,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,960
consumer-sts-0,skew,B0-R100-20260224-010807_0,439,21,7.316667,30.0,215,463.328,992.053,8.1,14.6,990.984,3.0,1.0,2.333333,6844,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,990
consumer-sts-0,skew,B0-R100-20260224-010807_0,432,15,7.2,30.0,216,588.92,1523.169,7.2,14.6,1021.014,6.0,3.0,3.5,7060,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1020
consumer-sts-0,skew,B0-R100-20260224-010807_0,427,32,7.116667,30.0,207,1496.94,2199.657,6.8,14.6,1051.045,11.0,3.0,1.909091,7267,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1050
consumer-sts-0,skew,B0-R100-20260224-010807_0,408,32,6.8,30.0,201,736.283,1144.153,6.6,14.6,1081.064,3.0,2.0,4.666667,7468,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1080
consumer-sts-0,skew,B0-R100-20260224-010807_0,428,24,7.133333,30.0,227,1093.501,1391.854,6.0,14.6,1111.094,9.0,2.0,1.555556,7695,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1110
consumer-sts-0,skew,B0-R100-20260224-010807_0,458,35,7.633333,30.0,231,1356.481,1742.006,6.6,14.6,1141.125,8.0,3.0,2.625,7926,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1140
