t_bucket,pods,throughput,p99_max,p99_med,window_total,window_viol,total_lag,max_lag,viol_rate,skew_ratio
30,8,51.283333999999996,14797.044,2731.7295000000004,3077,2180,1343.0,1267.0,0.7084822879428014,6.82756
60,8,126.050001,33165.953,1452.1779999999999,7563,5128,6047.0,5829.0,0.6780378156816078,7.768116
90,8,148.88333500000002,51550.731,1711.757,8933,5904,10522.0,10175.0,0.6609201835889399,7.775337
120,8,149.916667,70603.314,1432.4035,8995,6006,15094.0,14732.0,0.667704280155642,7.830963
150,8,149.649999,88694.11,1632.4565,8979,6076,19612.0,19248.0,0.6766900545717786,7.874003
180,8,148.216666,107692.629,1475.0475000000001,8893,6021,24200.0,23836.0,0.6770493646688407,7.893695
210,8,148.683334,126315.721,1645.547,8921,5972,28777.0,28410.0,0.6694316780629974,7.913925
240,8,150.433334,145169.853,1565.7710000000002,9026,6012,33235.0,32849.0,0.666075781076889,7.919
270,8,151.933333,163882.188,1450.2865000000002,9116,6054,37688.0,37260.0,0.6641070645019745,7.919866
300,8,150.433333,182532.239,1606.634,9026,6059,42220.0,41897.0,0.6712829603368048,7.945572
330,8,150.133333,201102.566,1534.4315,9008,6086,46723.0,46345.0,0.6756216696269982,7.942758
360,8,150.616667,219951.83,1555.7955000000002,9037,6099,51242.0,50853.0,0.6748921102135664,7.947955
390,8,149.7,238856.907,1423.5305,8982,6090,55761.0,55426.0,0.6780227120908484,8.0
420,8,150.033333,257378.143,1558.4185000000002,9002,6069,60283.0,59956.0,0.6741835147744946,7.962284
450,8,150.733334,276049.252,1512.1805,9044,6086,64730.0,64427.0,0.6729323308270677,7.968092
480,8,150.016666,294714.323,1192.287,9001,6069,69297.0,68927.0,0.6742584157315854,7.961421
510,8,147.916667,313328.474,1436.4185,8875,6011,73922.0,73541.0,0.6772957746478874,7.963615
540,8,147.85,332156.049,1532.6975,8871,6019,78469.0,78110.0,0.6785029872618645,7.967867
570,8,149.566666,350696.887,1584.6105,8974,6055,83012.0,82664.0,0.6747269890795632,7.969151
600,8,150.183334,369232.585,1689.7735,9011,6058,87564.0,87183.0,0.6722894240372878,7.969469
630,8,150.05,387774.592,1579.1109999999999,9003,6044,92082.0,91729.0,0.6713317782961236,7.973748
660,8,150.10000000000002,406481.657,1416.828,9006,6050,96558.0,96205.0,0.6717743726404619,7.974139
690,8,150.333333,424910.882,1637.1865,9020,6070,101104.0,100747.0,0.6729490022172949,7.974591
720,8,150.033334,443492.978,1438.4209999999998,9002,6058,105633.0,105265.0,0.6729615640968674,8.0
750,8,150.316667,462361.94,1650.5985,9019,6064,110085.0,109742.0,0.6723583545847654,7.977755
780,8,151.55,481126.092,1371.444,9093,6079,114588.0,114234.0,0.6685362366655669,7.978558
810,8,150.533334,499901.459,1772.7765,9032,6084,119108.0,118733.0,0.6736049601417183,7.977961
840,8,149.833333,518367.101,1394.3705,8990,6092,123593.0,123280.0,0.6776418242491657,7.981871
870,8,150.1,537004.304,1386.245,9006,6081,128173.0,127814.0,0.6752165223184544,7.980145
900,8,148.65,555549.372,1491.4165,8919,6075,132736.0,132379.0,0.6811301715438951,7.980708
930,8,149.76666500000002,574459.846,1439.1954999999998,8986,6062,137216.0,136798.0,0.6746049410193634,7.977781
960,8,150.73333300000002,593211.178,1652.272,9044,6057,141742.0,141337.0,0.6697257850508624,7.980745
990,8,150.516667,611648.891,1613.3875,9031,6054,146251.0,145883.0,0.6703576569593622,7.982709
