"Time","stddev_over_time(sum(consumer_total_lag)[20m:])"
2026-06-22 01:17:30,46.1
2026-06-22 01:17:45,46.1
2026-06-22 01:18:00,46.3
2026-06-22 01:18:15,46.2
2026-06-22 01:18:30,46.1
2026-06-22 01:18:45,46.0
2026-06-22 01:19:00,45.9
2026-06-22 01:19:15,45.7
2026-06-22 01:19:30,46.4
2026-06-22 01:19:45,46.2
2026-06-22 01:20:00,45.9
2026-06-22 01:20:15,45.9
2026-06-22 01:20:30,45.5
2026-06-22 01:20:45,44.9
2026-06-22 01:21:00,44.6
2026-06-22 01:21:15,44.3
2026-06-22 01:21:30,43.7
2026-06-22 01:21:45,42.6
2026-06-22 01:22:00,42.3
2026-06-22 01:22:15,41.6
2026-06-22 01:22:30,41.1
2026-06-22 01:22:45,41.9
2026-06-22 01:23:00,41.9
2026-06-22 01:23:15,41.5
2026-06-22 01:23:30,41.0
2026-06-22 01:23:45,40.6
2026-06-22 01:24:00,37.8
2026-06-22 01:24:15,37.5
2026-06-22 01:24:30,35.3
2026-06-22 01:24:45,35.1
2026-06-22 01:25:00,34.9
2026-06-22 01:25:15,34.7
2026-06-22 01:25:30,34.5
2026-06-22 01:25:45,33.0
2026-06-22 01:26:00,32.8
2026-06-22 01:26:15,33.3
2026-06-22 01:26:30,33.3
2026-06-22 01:26:45,33.6
2026-06-22 01:27:00,33.6
2026-06-22 01:27:15,33.7
2026-06-22 01:27:30,33.7
2026-06-22 01:27:45,33.7
2026-06-22 01:28:00,33.1
2026-06-22 01:28:15,33.5
2026-06-22 01:28:30,32.6
2026-06-22 01:28:45,32.8
2026-06-22 01:29:00,32.8
2026-06-22 01:29:15,32.8
2026-06-22 01:29:30,32.8
2026-06-22 01:29:45,32.5
2026-06-22 01:30:00,32.4
2026-06-22 01:30:15,32.4
2026-06-22 01:30:30,32.5
2026-06-22 01:30:45,32.6
2026-06-22 01:31:00,32.5
2026-06-22 01:31:15,33.0
2026-06-22 01:31:30,32.8
2026-06-22 01:31:45,32.6
2026-06-22 01:32:00,32.5
2026-06-22 01:32:15,32.3
2026-06-22 01:32:30,32.0
