"Time","stddev_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 01:16:15,1548
2026-06-22 01:16:30,1545
2026-06-22 01:16:45,1541
2026-06-22 01:17:00,1535
2026-06-22 01:17:15,1529
2026-06-22 01:17:30,1522
2026-06-22 01:17:45,1513
2026-06-22 01:18:00,1504
2026-06-22 01:18:15,1493
2026-06-22 01:18:30,1482
2026-06-22 01:18:45,1469
2026-06-22 01:19:00,1455
2026-06-22 01:19:15,1441
2026-06-22 01:19:30,1424
2026-06-22 01:19:45,1407
2026-06-22 01:20:00,1389
2026-06-22 01:20:15,1369
2026-06-22 01:20:30,1347
2026-06-22 01:20:45,1324
2026-06-22 01:21:00,1300
2026-06-22 01:21:15,1274
2026-06-22 01:21:30,1247
2026-06-22 01:21:45,1217
2026-06-22 01:22:00,1186
2026-06-22 01:22:15,1152
2026-06-22 01:22:30,1116
2026-06-22 01:22:45,1078
2026-06-22 01:23:00,1036
2026-06-22 01:23:15,992
2026-06-22 01:23:30,944
2026-06-22 01:23:45,892
2026-06-22 01:24:00,834
2026-06-22 01:24:15,770
2026-06-22 01:24:30,664
2026-06-22 01:24:45,305
2026-06-22 01:25:00,303
2026-06-22 01:25:15,301
2026-06-22 01:25:30,300
2026-06-22 01:25:45,23.2
2026-06-22 01:26:00,7.99
2026-06-22 01:26:15,8.04
2026-06-22 01:26:30,8.06
2026-06-22 01:26:45,8.62
2026-06-22 01:27:00,8.50
2026-06-22 01:27:15,8.48
2026-06-22 01:27:30,8.40
2026-06-22 01:27:45,8.38
2026-06-22 01:28:00,8.32
2026-06-22 01:28:15,8.20
2026-06-22 01:28:30,8.24
2026-06-22 01:28:45,8.26
2026-06-22 01:29:00,8.25
2026-06-22 01:29:15,8.23
2026-06-22 01:29:30,8.18
2026-06-22 01:29:45,8.32
2026-06-22 01:30:00,8.40
2026-06-22 01:30:15,8.39
2026-06-22 01:30:30,8.39
2026-06-22 01:30:45,8.50
2026-06-22 01:31:00,71.6
2026-06-22 01:31:15,71.6
