"Time","1000 *
sum(rate(consumer_e2e_latency_seconds_sum[30s]))
/
sum(rate(consumer_e2e_latency_seconds_count[30s]))"
2026-06-22 01:17:45,58.3
2026-06-22 01:18:00,50.2
2026-06-22 01:18:15,69.5
2026-06-22 01:18:30,76.8
2026-06-22 01:18:45,38.3
2026-06-22 01:19:00,46.3
2026-06-22 01:19:15,55.1
2026-06-22 01:19:30,75.2
2026-06-22 01:19:45,104
2026-06-22 01:20:00,99.6
2026-06-22 01:20:15,36.9
2026-06-22 01:20:30,43.2
2026-06-22 01:20:45,45.2
2026-06-22 01:21:00,52.5
2026-06-22 01:21:15,47.1
2026-06-22 01:21:30,62.6
2026-06-22 01:21:45,49.6
2026-06-22 01:22:00,45.6
2026-06-22 01:22:15,67.2
2026-06-22 01:22:30,66.3
2026-06-22 01:22:45,55.3
2026-06-22 01:23:00,60.6
2026-06-22 01:23:15,46.4
2026-06-22 01:23:30,49.9
2026-06-22 01:23:45,56.2
2026-06-22 01:24:00,58.3
2026-06-22 01:24:15,57.7
2026-06-22 01:24:30,64.6
2026-06-22 01:24:45,56.5
2026-06-22 01:25:00,52.2
2026-06-22 01:25:15,91.3
2026-06-22 01:25:30,94.1
2026-06-22 01:25:45,47.5
2026-06-22 01:26:00,50.2
2026-06-22 01:26:15,56.7
2026-06-22 01:26:30,58.2
2026-06-22 01:26:45,64.8
2026-06-22 01:27:00,61.9
2026-06-22 01:27:15,46.7
2026-06-22 01:27:30,48.2
2026-06-22 01:27:45,48.8
2026-06-22 01:28:00,64.6
2026-06-22 01:28:15,92.0
2026-06-22 01:28:30,75.5
2026-06-22 01:28:45,42.1
2026-06-22 01:29:00,42.6
2026-06-22 01:29:15,45.9
2026-06-22 01:29:30,51.7
2026-06-22 01:29:45,50.4
2026-06-22 01:30:00,45.3
2026-06-22 01:30:15,48.8
2026-06-22 01:30:30,57.9
2026-06-22 01:30:45,81.7
2026-06-22 01:31:00,81.8
2026-06-22 01:31:15,58.4
2026-06-22 01:31:30,68.3
2026-06-22 01:31:45,65.5
2026-06-22 01:32:00,63.3
2026-06-22 01:32:15,85.5
2026-06-22 01:32:30,106
2026-06-22 01:32:45,92.0
