merge_timestamp,throughput_MBps,late_rate,out_of_order_rate,duplicate_rate,batch_size_rows,batch_size_MB,uptime_seconds,cpu_percent,memory_percent,PRODUCER_COUNT,TARGET_RATE,LINGER_MS,BATCH_SIZE,ACKS,NUM_PARTITIONS,REPLICATION_FACTOR,MIN_INSYNC_REPLICAS,CONSUMER_COUNT,FETCH_MAX_WAIT_MS,MESSAGE_SIZE_BYTES
2025-07-16T214241,2.420816997507222e-05,0.0,0.492,0.082,500,0.057595252990722656,2379.2420966625214,25.7,48.4,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214249,0.08317992105583191,0.3947272727272727,0.4949090909090909,0.4289090909090909,5500,0.6248922348022461,2387.104636669159,26.0,48.4,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214259,0.1805228947099803,0.8801212121212121,0.4916969696969697,0.4504848484848485,16500,1.8733978271484375,2398.246509552002,26.1,48.4,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214309,0.19229359200531398,0.888,0.48848484848484847,0.4294545454545455,16500,1.861952781677246,2407.940680027008,26.4,48.4,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214317,0.22357788341609205,0.761,0.4908125,0.4310625,16000,1.8120756149291992,2415.985126018524,26.1,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214325,0.2231176170684699,0.906258064516129,0.49148387096774193,0.4163225806451613,15500,1.7559080123901367,2423.836407184601,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214334,0.17940991722731517,0.7998620689655173,0.49110344827586205,0.40827586206896554,14500,1.6447477340698242,2432.942218542099,25.9,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214342,0.17938615377146133,1.0,0.4896,0.43416,12500,1.4138832092285156,2440.665913105011,26.4,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214348,0.21689253063694316,0.5026666666666667,0.49225,0.41108333333333336,12000,1.3599767684936523,2446.9006547927856,25.5,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214357,0.1659002058061771,1.0,0.492,0.40623076923076923,13000,1.4785871505737305,2455.8978168964386,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214405,0.2118965502348549,0.2373548387096774,0.49470967741935484,0.4455483870967742,15500,1.7663049697875977,2464.40273809433,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214413,0.22920802475063579,1.0,0.490625,0.412625,16000,1.8249969482421875,2472.378854036331,26.4,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214421,0.24439540299827597,0.858764705882353,0.49011764705882355,0.41705882352941176,17000,1.9381303787231445,2480.335661649704,25.7,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214428,0.22122064176303227,0.5225714285714286,0.4947142857142857,0.36178571428571427,14000,1.5935583114624023,2487.32941365242,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214436,0.2245552969423779,0.7363448275862069,0.4923448275862069,0.38420689655172413,14500,1.654160499572754,2494.813064098358,25.4,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214442,0.2568585358043601,1.0,0.48786206896551726,0.42558620689655174,14500,1.6462593078613281,2501.21714925766,26.6,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214449,0.19458778082722114,0.042,0.49384,0.35336,12500,1.4135732650756836,2508.3354029655457,25.6,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214458,0.17861887689301956,0.7266428571428571,0.49328571428571427,0.3687142857142857,14000,1.5798044204711914,2517.2830095291138,26.2,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214510,0.18343568214601644,0.8273846153846154,0.4928205128205128,0.37953846153846155,19500,2.2032289505004883,2529.651199579239,26.7,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214524,0.2073670470057966,0.8349230769230769,0.4880769230769231,0.3983846153846154,26000,2.945401191711426,2544.3412261009216,26.2,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214542,0.22269729454879186,0.8906857142857143,0.4901714285714286,0.38874285714285717,35000,3.9689273834228516,2562.737123966217,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214604,0.22452894029163914,0.7620689655172413,0.4920229885057471,0.41970114942528736,43500,4.925941467285156,2585.3509113788605,26.1,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214624,0.22881082992914725,0.92175,0.492,0.37755,40000,4.533862113952637,2604.8923246860504,25.8,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214643,0.20174095982987994,0.7199420289855073,0.49231884057971015,0.3712463768115942,34500,3.9120941162109375,2623.9165303707123,26.0,48.5,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214708,0.18187089739161522,0.9031645569620254,0.4916455696202532,0.38129113924050634,39500,4.477983474731445,2648.898117542267,26.1,48.6,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214737,0.19089702808843353,0.9219591836734694,0.4896734693877551,0.38018367346938775,49000,5.554107666015625,2678.6383283138275,25.8,48.6,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214814,0.17396820227235388,0.7945614035087719,0.4898421052631579,0.420140350877193,57000,6.478763580322266,2716.4644482135773,26.2,48.6,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T214905,0.18082886846988172,0.7244596273291926,0.4893664596273292,0.4147826086956522,80500,9.201937675476074,2768.98223733902,26.2,48.6,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T215008,0.17965453061999684,0.3557171717171717,0.49033333333333334,0.42403030303030304,99000,11.31611442565918,2834.4193341732025,26.0,48.7,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T215140,0.1628570251462219,0.6114296577946768,0.4275893536121673,0.37433460076045627,131500,15.029370307922363,2929.388475418091,26.0,48.7,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T215404,0.14530496730813894,1.0,0.45887912087912086,0.4377142857142857,182000,20.787057876586914,3074.348713159561,25.9,48.8,2,NA,100,100,1,10,1,NA,2,NA,NA
2025-07-16T215547,0.16487742979302353,0.9912390572390573,0.48948148148148146,0.4677239057239057,148500,17.03168773651123,3175.473830461502,26.0,48.9,2,NA,100,100,1,10,1,NA,2,NA,NA
