timestamp_epoch,seconds_from_evaluation_start,valid,processing_backlog_offsets
1789292917.852,1.9996531009674072,True,44168.0
1789292919.852,3.9996531009674072,True,44168.0
1789292921.852,5.999653100967407,True,47199.0
1789292923.852,7.999653100967407,True,47199.0
1789292925.852,9.999653100967407,True,51619.0
1789292927.852,11.999653100967407,True,51619.0
1789292929.852,13.999653100967407,True,51613.0
1789292931.852,15.999653100967407,True,54599.0
1789292933.852,17.999653100967407,True,54599.0
1789292935.852,19.999653100967407,True,58914.0
1789292937.852,21.999653100967407,True,58914.0
1789292939.852,23.999653100967407,True,58916.0
1789292941.852,25.999653100967407,True,61973.0
1789292943.852,27.999653100967407,True,61973.0
1789292945.852,29.999653100967407,True,66412.0
1789292947.852,31.999653100967407,True,66412.0
1789292949.852,33.99965310096741,True,66413.0
1789292951.852,35.99965310096741,True,69481.0
1789292953.852,37.99965310096741,True,69481.0
1789292955.852,39.99965310096741,True,73989.0
1789292957.852,41.99965310096741,True,73989.0
1789292959.852,43.99965310096741,True,73986.0
1789292961.852,45.99965310096741,True,77016.0
1789292963.852,47.99965310096741,True,77016.0
1789292965.852,49.99965310096741,True,81416.0
1789292967.852,51.99965310096741,True,81416.0
1789292969.852,53.99965310096741,True,81420.0
1789292971.852,55.99965310096741,True,84526.0
1789292973.852,57.99965310096741,True,84526.0
1789292975.852,59.99965310096741,True,88958.0
1789292977.852,61.99965310096741,True,88958.0
1789292979.852,63.99965310096741,True,88958.0
1789292981.852,65.99965310096741,True,92051.0
1789292983.852,67.99965310096741,True,92051.0
1789292985.852,69.99965310096741,True,96451.0
1789292987.852,71.99965310096741,True,96451.0
1789292989.852,73.99965310096741,True,96457.0
1789292991.852,75.99965310096741,False,
1789292993.852,77.99965310096741,False,
1789292995.852,79.99965310096741,True,101397.0
1789292997.852,81.99965310096741,True,101397.0
1789292999.852,83.99965310096741,False,
1789293001.852,85.99965310096741,False,
1789293003.852,87.99965310096741,False,
1789293005.852,89.99965310096741,False,
1789293007.852,91.99965310096741,False,
1789293009.852,93.99965310096741,False,
1789293011.852,95.99965310096741,False,
1789293013.852,97.99965310096741,False,
1789293015.852,99.99965310096741,False,
1789293017.852,101.99965310096741,False,
1789293019.852,103.99965310096741,False,
1789293021.852,105.99965310096741,False,
1789293023.852,107.99965310096741,False,
1789293025.852,109.99965310096741,False,
1789293027.852,111.99965310096741,False,
1789293029.852,113.99965310096741,False,
1789293031.852,115.99965310096741,False,
1789293033.852,117.99965310096741,True,131234.0
1789293035.852,119.99965310096741,True,131236.0
1789293037.852,121.99965310096741,True,137128.0
1789293039.852,123.99965310096741,True,137131.0
1789293041.852,125.99965310096741,True,137131.0
1789293043.852,127.99965310096741,True,141138.0
1789293045.852,129.9996531009674,True,141137.0
1789293047.852,131.9996531009674,True,147045.0
1789293049.852,133.9996531009674,True,147043.0
1789293051.852,135.9996531009674,True,147042.0
1789293053.852,137.9996531009674,True,151060.0
1789293055.852,139.9996531009674,True,151057.0
1789293057.852,141.9996531009674,True,156955.0
1789293059.852,143.9996531009674,True,156958.0
1789293061.852,145.9996531009674,True,156962.0
1789293063.852,147.9996531009674,True,160950.0
1789293065.852,149.9996531009674,True,160950.0
1789293067.852,151.9996531009674,True,166658.0
1789293069.852,153.9996531009674,True,166659.0
1789293071.852,155.9996531009674,True,166658.0
1789293073.852,157.9996531009674,True,170770.0
1789293075.852,159.9996531009674,True,170775.0
1789293077.852,161.9996531009674,True,174823.0
1789293079.852,163.9996531009674,True,174822.0
1789293081.852,165.9996531009674,True,174816.0
1789293083.852,167.9996531009674,True,180790.0
1789293085.852,169.9996531009674,True,180787.0
1789293087.852,171.9996531009674,True,184820.0
1789293089.852,173.9996531009674,True,184820.0
1789293091.852,175.9996531009674,True,184819.0
1789293093.852,177.9996531009674,True,190749.0
1789293095.852,179.9996531009674,True,190758.0
1789293097.852,181.9996531009674,True,194754.0
1789293099.852,183.9996531009674,True,194752.0
1789293101.852,185.9996531009674,True,194753.0
1789293103.852,187.9996531009674,True,200648.0
1789293105.852,189.9996531009674,True,200641.0
1789293107.852,191.9996531009674,True,204649.0
1789293109.852,193.9996531009674,True,204648.0
1789293111.852,195.9996531009674,True,204651.0
1789293113.852,197.9996531009674,True,210595.0
1789293115.852,199.9996531009674,True,210593.0
1789293117.852,201.9996531009674,True,214573.0
1789293119.852,203.9996531009674,True,214577.0
1789293121.852,205.9996531009674,True,214579.0
1789293123.852,207.9996531009674,True,220545.0
1789293125.852,209.9996531009674,True,220541.0
1789293127.852,211.9996531009674,True,224557.0
1789293129.852,213.9996531009674,True,224559.0
1789293131.852,215.9996531009674,True,224563.0
1789293133.852,217.9996531009674,True,228597.0
1789293135.852,219.9996531009674,True,228589.0
1789293137.852,221.9996531009674,True,234470.0
1789293139.852,223.9996531009674,True,234474.0
1789293141.852,225.9996531009674,True,234476.0
1789293143.852,227.9996531009674,True,238503.0
1789293145.852,229.9996531009674,True,238498.0
1789293147.852,231.9996531009674,True,244460.0
1789293149.852,233.9996531009674,True,244459.0
1789293151.852,235.9996531009674,True,244460.0
1789293153.852,237.9996531009674,True,248446.0
1789293155.852,239.9996531009674,True,248448.0
