index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
474015,synthetic_5,95,1750888752.0236435,1751150299.788473,261547.7648289204,1751150470.8100803,171.02160739898682
474025,synthetic_5,102,1750888752.023942,1751150299.7885466,261547.76460456848,1751150470.8100803,171.02153372764587
474035,synthetic_5,103,1750888752.0242443,1751150299.7885604,261547.764316082,1751150470.8100803,171.0215198993683
474045,synthetic_5,90,1750888752.1191523,1751150299.788572,261547.66941952705,1751150470.8100803,171.0215082168579
481645,synthetic_5,101,1750888752.3259826,1751150299.7885833,261547.462600708,1751150470.8100803,171.0214970111847
481655,synthetic_5,81,1750888752.326174,1751150299.7885945,261547.4624204636,1751150470.8100803,171.02148580551147
481665,synthetic_5,82,1750888752.326341,1751150299.7886047,261547.46226382256,1751150470.8100803,171.02147555351257
481675,synthetic_5,83,1750888752.4178393,1751150299.7886147,261547.3707754612,1751150470.8100803,171.02146553993225
481685,synthetic_5,101,1750888752.4180286,1751150299.7886243,261547.3705956936,1751150470.8100803,171.0214560031891
481695,synthetic_5,95,1750888752.4181757,1751150299.7886353,261547.37045955655,1751150470.8100803,171.02144503593445
481705,synthetic_5,89,1750888752.4183254,1751150299.7886455,261547.37032032013,1751150470.8100803,171.02143478393555
481715,synthetic_5,81,1750888752.418553,1751150299.7886558,261547.370102644,1751150470.8100803,171.02142453193665
481725,synthetic_5,102,1750888752.4187148,1751150299.788665,261547.3699502945,1751150470.8100803,171.02141523361206
481735,synthetic_5,83,1750888752.4188695,1751150299.788675,261547.3698055744,1751150470.8100803,171.02140522003174
481745,synthetic_5,96,1750888752.4190226,1751150299.7886848,261547.36966228485,1751150470.8100803,171.02139544487
481755,synthetic_5,102,1750888752.4191823,1751150299.788695,261547.3695127964,1751150470.8100803,171.0213851928711
481765,synthetic_5,83,1750888752.4193585,1751150299.788705,261547.36934685707,1751150470.8100803,171.02137517929077
481775,synthetic_5,97,1750888752.4195333,1751150299.7887154,261547.36918210983,1751150470.8100803,171.02136492729187
481785,synthetic_5,88,1750888752.4197187,1751150299.788725,261547.3690061569,1751150470.8100803,171.0213553905487
481795,synthetic_5,90,1750888752.4199133,1751150299.788735,261547.3688213825,1751150470.8100803,171.02134537696838
481805,synthetic_5,96,1750888752.420092,1751150299.7887442,261547.36865210533,1751150470.8100803,171.0213360786438
481815,synthetic_5,101,1750888752.4202724,1751150299.7887545,261547.36848211288,1751150470.8100803,171.0213258266449
481825,synthetic_5,80,1750888752.4204636,1751150299.7887647,261547.3683011532,1751150470.8100803,171.021315574646
481835,synthetic_5,96,1750888752.4206598,1751150299.7887747,261547.36811494827,1751150470.8100803,171.02130556106567
481845,synthetic_5,82,1750888752.420827,1751150299.7887845,261547.367957592,1751150470.8100803,171.02129578590393
