index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
82004,synthetic_4,102,1750888621.2271993,1751150298.6986816,261677.4714822769,1751150506.9031668,208.20448517799377
82014,synthetic_4,87,1750888621.227561,1751150298.6988597,261677.4712984562,1751150506.9031668,208.20430707931519
82024,synthetic_4,94,1750888621.2278633,1751150298.6988804,261677.47101712227,1751150506.9031668,208.2042863368988
82034,synthetic_4,80,1750888621.2281408,1751150298.6988993,261677.4707584381,1751150506.9031668,208.20426750183105
82044,synthetic_4,88,1750888621.2283726,1751150298.6989129,261677.4705402851,1751150506.9031668,208.20425391197205
82054,synthetic_4,87,1750888621.2292416,1751150298.6989448,261677.46970319748,1751150506.9031668,208.20422196388245
82064,synthetic_4,102,1750888621.2295644,1751150298.6989765,261677.46941185,1751150506.9031668,208.20419025421143
82074,synthetic_4,95,1750888621.2298472,1751150298.699012,261677.46916484836,1751150506.9031668,208.20415472984314
82084,synthetic_4,102,1750888621.2300706,1751150298.699035,261677.4689643383,1751150506.9031668,208.20413184165955
82094,synthetic_4,82,1750888621.2303286,1751150298.6990674,261677.46873879436,1751150506.9031668,208.2040994167328
82104,synthetic_4,80,1750888621.230585,1751150298.6990988,261677.4685134888,1751150506.9031668,208.20406794548035
82114,synthetic_4,100,1750888621.2308388,1751150298.699115,261677.46827626228,1751150506.9031668,208.20405173301697
82124,synthetic_4,94,1750888621.2311037,1751150298.6991322,261677.46802854535,1751150506.9031668,208.20403456687927
82134,synthetic_4,82,1750888621.2313569,1751150298.6991482,261677.4677913189,1751150506.9031668,208.20401859283447
82144,synthetic_4,101,1750888621.2316198,1751150298.6991608,261677.46754097936,1751150506.9031668,208.20400595664978
82154,synthetic_4,101,1750888621.2318869,1751150298.6992955,261677.46740865707,1751150506.9031668,208.2038712501526
82164,synthetic_4,95,1750888621.232148,1751150298.699309,261677.467161417,1751150506.9031668,208.20385766029358
82174,synthetic_4,81,1750888621.2324088,1751150298.6993215,261677.46691298485,1751150506.9031668,208.20384526252747
82184,synthetic_4,101,1750888621.3178198,1751150298.699332,261677.38151216507,1751150506.9031668,208.20383477210999
82194,synthetic_4,80,1750888621.3181958,1751150298.6993432,261677.38114738464,1751150506.9031668,208.20382356643677
82204,synthetic_4,101,1750888621.318672,1751150298.6993556,261677.3806836605,1751150506.9031668,208.20381116867065
82214,synthetic_4,81,1750888621.319412,1751150298.6993666,261677.3799545765,1751150506.9031668,208.20380020141602
82224,synthetic_4,84,1750888621.31986,1751150298.6993768,261677.37951684,1751150506.9031668,208.20378994941711
82234,synthetic_4,81,1750888621.320395,1751150298.6993868,261677.37899184227,1751150506.9031668,208.2037799358368
82244,synthetic_4,102,1750888621.3208942,1751150298.6994038,261677.37850952148,1751150506.9031668,208.20376300811768
82254,synthetic_4,88,1750888621.3213675,1751150298.6994252,261677.37805771828,1751150506.9031668,208.20374155044556
82264,synthetic_4,81,1750888621.3218374,1751150298.699452,261677.3776144981,1751150506.9031668,208.2037148475647
82274,synthetic_4,96,1750888621.3222969,1751150298.6994646,261677.3771677017,1751150506.9031668,208.20370221138
82284,synthetic_4,80,1750888621.322628,1751150298.699675,261677.37704730037,1751150506.9031668,208.20349168777466
82294,synthetic_4,93,1750888621.323143,1751150298.6996927,261677.3765497208,1751150506.9031668,208.2034740447998
82304,synthetic_4,80,1750888621.3235638,1751150298.6997032,261677.3761394024,1751150506.9031668,208.20346355438232
82314,synthetic_4,89,1750888621.3238502,1751150298.7001147,261677.3762645721,1751150506.9031668,208.2030520439148
82324,synthetic_4,95,1750888621.3241816,1751150298.700239,261677.3760573864,1751150506.9031668,208.20292782783508
82334,synthetic_4,86,1750888621.32455,1751150298.7002711,261677.3757212162,1751150506.9031668,208.2028956413269
82344,synthetic_4,81,1750888621.324924,1751150298.7002823,261677.37535834312,1751150506.9031668,208.2028844356537
82354,synthetic_4,103,1750888621.3252172,1751150298.7002933,261677.37507605556,1751150506.9031668,208.20287346839905
82364,synthetic_4,95,1750888621.325555,1751150298.700305,261677.3747498989,1751150506.9031668,208.20286178588867
82374,synthetic_4,103,1750888621.3258867,1751150298.7005026,261677.37461590767,1751150506.9031668,208.2026641368866
