index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
942351,synthetic_1,87,1750888903.420425,1751150305.974789,261402.5543637276,1751150308.026345,2.05155611038208
942361,synthetic_1,94,1750888903.4375322,1751150305.9748526,261402.53732037544,1751150308.026345,2.05149245262146
942371,synthetic_1,102,1750888903.4378123,1751150305.9748652,261402.5370528698,1751150308.026345,2.0514798164367676
942381,synthetic_1,96,1750888903.4380727,1751150305.9748757,261402.53680300715,1751150308.026345,2.051469326019287
942391,synthetic_1,89,1750888903.438362,1751150305.9748857,261402.53652381897,1751150308.026345,2.051459312438965
942401,synthetic_1,80,1750888903.438632,1751150305.9748948,261402.53626275063,1751150308.026345,2.051450252532959
942411,synthetic_1,104,1750888903.4389682,1751150305.9749043,261402.5359361172,1751150308.026345,2.051440715789795
942421,synthetic_1,95,1750888903.4392784,1751150305.9749143,261402.53563594815,1751150308.026345,2.0514307022094727
942431,synthetic_1,81,1750888903.4396274,1751150305.9749243,261402.53529691696,1751150308.026345,2.0514206886291504
942441,synthetic_1,101,1750888903.439965,1751150305.974933,261402.5349678993,1751150308.026345,2.0514121055603027
942451,synthetic_1,96,1750888903.440299,1751150305.9749427,261402.53464365003,1751150308.026345,2.0514023303985596
942461,synthetic_1,90,1750888903.5179644,1751150305.9749618,261402.45699739456,1751150308.026345,2.0513832569122314
942471,synthetic_1,95,1750888903.518221,1751150305.9749713,261402.4567503929,1751150308.026345,2.0513737201690674
942481,synthetic_1,96,1750888903.5186152,1751150305.9749806,261402.4563653469,1751150308.026345,2.0513644218444824
942491,synthetic_1,88,1750888903.51902,1751150305.9749928,261402.4559726715,1751150308.026345,2.0513522624969482
942501,synthetic_1,81,1750888903.519389,1751150305.9750016,261402.45561265945,1751150308.026345,2.0513434410095215
942511,synthetic_1,102,1750888903.5197823,1751150305.9750102,261402.45522785187,1751150308.026345,2.051334857940674
942521,synthetic_1,83,1750888903.5202074,1751150305.9750197,261402.45481228828,1751150308.026345,2.0513253211975098
942531,synthetic_1,94,1750888903.5207214,1751150305.9750288,261402.45430731773,1751150308.026345,2.051316261291504
942541,synthetic_1,103,1750888903.5211527,1751150305.9750383,261402.4538857937,1751150308.026345,2.05130672454834
942551,synthetic_1,83,1750888903.5215988,1751150305.9750462,261402.45344734192,1751150308.026345,2.0512988567352295
