index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
941435,synthetic_5,90,1750888903.1181488,1751150304.803172,261401.6850233078,1751150389.548222,84.7450499534607
941445,synthetic_5,103,1750888903.1183646,1751150304.8032534,261401.6848888397,1751150389.548222,84.74496865272522
941455,synthetic_5,82,1750888903.1185887,1751150304.8032715,261401.68468284607,1751150389.548222,84.74495053291321
941465,synthetic_5,97,1750888903.1188447,1751150304.803285,261401.684440136,1751150389.548222,84.74493718147278
941475,synthetic_5,101,1750888903.1190815,1751150304.8032973,261401.68421578407,1751150389.548222,84.74492478370667
941485,synthetic_5,82,1750888903.1193256,1751150304.80331,261401.68398427963,1751150389.548222,84.74491214752197
941495,synthetic_5,82,1750888903.1195903,1751150304.8033247,261401.68373441696,1751150389.548222,84.74489736557007
941505,synthetic_5,82,1750888903.1198463,1751150304.803336,261401.6834897995,1751150389.548222,84.74488615989685
941515,synthetic_5,95,1750888903.1202028,1751150304.8033466,261401.6831438541,1751150389.548222,84.74487543106079
941525,synthetic_5,83,1750888903.120664,1751150304.8033586,261401.68269443512,1751150389.548222,84.74486351013184
941535,synthetic_5,90,1750888903.1209714,1751150304.8033698,261401.68239831924,1751150389.548222,84.74485230445862
941545,synthetic_5,83,1750888903.1213725,1751150304.8033805,261401.68200802803,1751150389.548222,84.74484157562256
941555,synthetic_5,88,1750888903.121771,1751150304.8033912,261401.681620121,1751150389.548222,84.7448308467865
941565,synthetic_5,88,1750888903.1220834,1751150304.8034022,261401.68131875992,1751150389.548222,84.74481987953186
941575,synthetic_5,102,1750888903.1224422,1751150304.8034158,261401.68097352984,1751150389.548222,84.74480628967285
941585,synthetic_5,103,1750888903.1227765,1751150304.8034284,261401.68065190315,1751150389.548222,84.74479365348816
941595,synthetic_5,81,1750888903.123224,1751150304.80344,261401.6802158356,1751150389.548222,84.74478197097778
941605,synthetic_5,96,1750888903.123598,1751150304.8034525,261401.6798541546,1751150389.548222,84.74476957321167
941615,synthetic_5,103,1750888903.123956,1751150304.8034632,261401.67950725555,1751150389.548222,84.74475884437561
941625,synthetic_5,90,1750888903.1242857,1751150304.8034744,261401.67918896675,1751150389.548222,84.74474763870239
941635,synthetic_5,87,1750888903.1245594,1751150304.803486,261401.6789264679,1751150389.548222,84.74473595619202
941645,synthetic_5,97,1750888903.1247692,1751150304.8034973,261401.67872810364,1751150389.548222,84.7447247505188
941655,synthetic_5,93,1750888903.1249945,1751150304.8035092,261401.678514719,1751150389.548222,84.74471282958984
941665,synthetic_5,97,1750888903.1252112,1751150304.8035216,261401.6783103943,1751150389.548222,84.74470043182373
