index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
4885344,synthetic_4,94,1750890230.6229692,1751154452.4568288,264221.8338596821,1751154454.584388,2.127559185028076
4885354,synthetic_4,83,1750890230.6234105,1751154452.456876,264221.8334655762,1751154454.584388,2.127511978149414
4885364,synthetic_4,91,1750890230.6236155,1751154452.456885,264221.8332695961,1751154454.584388,2.127502918243408
4885374,synthetic_4,90,1750890230.6237965,1751154452.4568925,264221.8330960274,1751154454.584388,2.127495527267456
4885384,synthetic_4,83,1750890230.6240067,1751154452.4568994,264221.8328926563,1751154454.584388,2.127488613128662
4885394,synthetic_4,97,1750890230.624272,1751154452.456906,264221.8326342106,1751154454.584388,2.1274819374084473
4885404,synthetic_4,104,1750890230.6244662,1751154452.456913,264221.8324468136,1751154454.584388,2.1274750232696533
4885414,synthetic_4,90,1750890230.6246755,1751154452.45692,264221.8322446346,1751154454.584388,2.1274681091308594
4885424,synthetic_4,98,1750890230.6248398,1751154452.4569268,264221.83208703995,1751154454.584388,2.1274611949920654
4885434,synthetic_4,89,1750890230.625007,1751154452.4569335,264221.8319270611,1751154454.584388,2.1274545192718506
4885444,synthetic_4,92,1750890230.625158,1751154452.4569457,264221.8317875862,1751154454.584388,2.1274423599243164
4885454,synthetic_4,83,1750890230.625327,1751154452.4569533,264221.8316259384,1751154454.584388,2.127434730529785
4885464,synthetic_4,101,1750890230.625489,1751154452.456962,264221.8314731121,1751154454.584388,2.1274259090423584
4885474,synthetic_4,90,1750890230.6256635,1751154452.456969,264221.83130550385,1751154454.584388,2.1274189949035645
4885484,synthetic_4,102,1750890230.6258242,1751154452.4569752,264221.8311510086,1751154454.584388,2.127412796020508
4885494,synthetic_4,95,1750890230.625994,1751154452.4569824,264221.83098840714,1751154454.584388,2.1274056434631348
4885504,synthetic_4,90,1750890230.626225,1751154452.4569895,264221.8307645321,1751154454.584388,2.1273984909057617
4885514,synthetic_4,95,1750890230.6263666,1751154452.456997,264221.830630064,1751154454.584388,2.1273910999298096
4885524,synthetic_4,102,1750890230.6265106,1751154452.4570034,264221.8304927349,1751154454.584388,2.127384662628174
4885534,synthetic_4,90,1750890230.6266582,1751154452.4570105,264221.83035206795,1751154454.584388,2.127377510070801
4885544,synthetic_4,90,1750890230.6268036,1751154452.457017,264221.83021330833,1751154454.584388,2.127371072769165
5238674,synthetic_4,97,1750890230.622557,1751154452.457024,264221.8344669342,1751154454.584388,2.127363920211792
4885554,synthetic_4,90,1750890230.6269505,1751154452.4570298,264221.8300793171,1751154454.584388,2.1273581981658936
4885564,synthetic_4,84,1750890230.6270947,1751154452.4570384,264221.8299436569,1751154454.584388,2.127349615097046
4885574,synthetic_4,83,1750890230.6272357,1751154452.457045,264221.82980942726,1751154454.584388,2.127342939376831
4885584,synthetic_4,91,1750890230.6273775,1751154452.4570518,264221.8296742439,1751154454.584388,2.127336263656616
4885594,synthetic_4,84,1750890230.6275277,1751154452.4570577,264221.8295302391,1751154454.584388,2.1273303031921387
4885604,synthetic_4,83,1750890230.6276767,1751154452.4570644,264221.8293876648,1751154454.584388,2.127323627471924
4885614,synthetic_4,93,1750890230.62782,1751154452.4570706,264221.8292505741,1751154454.584388,2.127317428588867
4885624,synthetic_4,90,1750890230.6279614,1751154452.457077,264221.8291156292,1751154454.584388,2.1273109912872314
4885634,synthetic_4,90,1750890230.6281033,1751154452.4570837,264221.82898020744,1751154454.584388,2.1273043155670166
4885644,synthetic_4,83,1750890230.6282437,1751154452.45709,264221.8288464546,1751154454.584388,2.12729811668396
4885654,synthetic_4,88,1750890230.6283891,1751154452.4570963,264221.82870721817,1751154454.584388,2.127291679382324
4885664,synthetic_4,83,1750890230.7202551,1751154452.4571035,264221.7368485928,1751154454.584388,2.127284526824951
5241454,synthetic_4,83,1750890231.2265365,1751154452.4571116,264221.2305753231,1751154454.584388,2.1272764205932617
5241464,synthetic_4,97,1750890231.226764,1751154452.4571197,264221.2303557396,1751154454.584388,2.1272683143615723
5241474,synthetic_4,93,1750890231.226958,1751154452.4571264,264221.2301683426,1751154454.584388,2.1272616386413574
5241484,synthetic_4,83,1750890231.2271893,1751154452.457133,264221.2299437523,1751154454.584388,2.1272549629211426
5241494,synthetic_4,96,1750890231.2274046,1751154452.4571395,264221.22973513603,1751154454.584388,2.127248525619507
5241504,synthetic_4,96,1750890231.2275643,1751154452.4571464,264221.2295820713,1751154454.584388,2.127241611480713
5241514,synthetic_4,83,1750890231.2277207,1751154452.457153,264221.22943234444,1751154454.584388,2.127234935760498
