timestamp_epoch,seconds_from_evaluation_start,valid,processing_backlog_offsets
1789277776.129,1.9998929500579834,True,43732.0
1789277778.129,3.9998929500579834,True,43732.0
1789277780.129,5.999892950057983,True,43733.0
1789277782.129,7.999892950057983,True,47121.0
1789277784.129,9.999892950057983,True,47121.0
1789277786.129,11.999892950057983,True,50957.0
1789277788.129,13.999892950057983,True,50957.0
1789277790.129,15.999892950057983,True,50957.0
1789277792.129,17.999892950057983,True,54177.0
1789277794.129,19.999892950057983,True,54177.0
1789277796.129,21.999892950057983,True,58500.0
1789277798.129,23.999892950057983,True,58500.0
1789277800.129,25.999892950057983,True,58505.0
1789277802.129,27.999892950057983,True,61432.0
1789277804.129,29.999892950057983,True,61432.0
1789277806.129,31.999892950057983,True,65020.0
1789277808.129,33.99989295005798,True,65020.0
1789277810.129,35.99989295005798,True,65026.0
1789277812.129,37.99989295005798,True,68742.0
1789277814.129,39.99989295005798,True,68742.0
1789277816.129,41.99989295005798,True,73071.0
1789277818.129,43.99989295005798,True,73071.0
1789277820.129,45.99989295005798,True,73073.0
1789277822.129,47.99989295005798,True,75977.0
1789277824.129,49.99989295005798,True,75977.0
1789277826.129,51.99989295005798,True,78915.0
1789277828.129,53.99989295005798,True,78915.0
1789277830.129,55.99989295005798,True,78921.0
1789277832.129,57.99989295005798,True,83274.0
1789277834.129,59.99989295005798,True,83274.0
1789277836.129,61.99989295005798,True,86181.0
1789277838.129,63.99989295005798,True,86181.0
1789277840.129,65.99989295005798,True,86181.0
1789277842.129,67.99989295005798,True,90417.0
1789277844.129,69.99989295005798,True,90417.0
1789277846.129,71.99989295005798,True,93222.0
1789277848.129,73.99989295005798,True,93222.0
1789277850.129,75.99989295005798,True,93220.0
1789277852.129,77.99989295005798,True,97432.0
1789277854.129,79.99989295005798,True,97432.0
1789277856.129,81.99989295005798,False,
1789277858.129,83.99989295005798,False,
1789277860.129,85.99989295005798,False,
1789277862.129,87.99989295005798,False,
1789277864.129,89.99989295005798,False,
1789277866.129,91.99989295005798,False,
1789277868.129,93.99989295005798,False,
1789277870.129,95.99989295005798,False,
1789277872.129,97.99989295005798,False,
1789277874.129,99.99989295005798,False,
1789277876.129,101.99989295005798,True,107648.0
1789277878.129,103.99989295005798,True,107647.0
1789277880.129,105.99989295005798,True,109736.0
1789277882.129,107.99989295005798,True,109733.0
1789277884.129,109.99989295005798,True,109733.0
1789277886.129,111.99989295005798,True,112766.0
1789277888.129,113.99989295005798,True,112766.0
1789277890.129,115.99989295005798,True,114837.0
1789277892.129,117.99989295005798,True,114841.0
1789277894.129,119.99989295005798,True,114842.0
1789277896.129,121.99989295005798,True,117837.0
1789277898.129,123.99989295005798,True,117836.0
1789277900.129,125.99989295005798,True,119896.0
1789277902.129,127.99989295005798,True,119895.0
1789277904.129,129.99989295005798,True,119896.0
1789277906.129,131.99989295005798,True,122983.0
1789277908.129,133.99989295005798,True,122982.0
1789277910.129,135.99989295005798,True,125021.0
1789277912.129,137.99989295005798,True,125024.0
1789277914.129,139.99989295005798,True,125026.0
1789277916.129,141.99989295005798,True,128090.0
1789277918.129,143.99989295005798,True,128089.0
1789277920.129,145.99989295005798,True,130132.0
1789277922.129,147.99989295005798,True,130134.0
1789277924.129,149.99989295005798,True,130133.0
1789277926.129,151.99989295005798,True,132204.0
1789277928.129,153.99989295005798,True,132204.0
1789277930.129,155.99989295005798,True,135144.0
1789277932.129,157.99989295005798,True,135143.0
1789277934.129,159.99989295005798,True,135143.0
1789277936.129,161.99989295005798,True,137260.0
1789277938.129,163.99989295005798,True,137260.0
1789277940.129,165.99989295005798,True,140297.0
1789277942.129,167.99989295005798,True,140297.0
1789277944.129,169.99989295005798,True,140298.0
1789277946.129,171.99989295005798,True,142474.0
1789277948.129,173.99989295005798,True,142473.0
1789277950.129,175.99989295005798,True,145452.0
1789277952.129,177.99989295005798,True,145452.0
1789277954.129,179.99989295005798,True,145453.0
1789277956.129,181.99989295005798,True,147553.0
1789277958.129,183.99989295005798,True,147553.0
1789277960.129,185.99989295005798,True,150566.0
1789277962.129,187.99989295005798,True,150564.0
1789277964.129,189.99989295005798,True,150565.0
1789277966.129,191.99989295005798,True,152662.0
1789277968.129,193.99989295005798,True,152660.0
1789277970.129,195.99989295005798,True,155715.0
1789277972.129,197.99989295005798,True,155714.0
1789277974.129,199.99989295005798,True,155715.0
1789277976.129,201.99989295005798,True,157842.0
1789277978.129,203.99989295005798,True,157842.0
1789277980.129,205.99989295005798,True,160931.0
1789277982.129,207.99989295005798,True,160930.0
1789277984.129,209.99989295005798,True,160930.0
1789277986.129,211.99989295005798,True,163042.0
1789277988.129,213.99989295005798,True,163042.0
1789277990.129,215.99989295005798,True,166106.0
1789277992.129,217.99989295005798,True,166105.0
1789277994.129,219.99989295005798,True,166107.0
1789277996.129,221.99989295005798,True,168202.0
1789277998.129,223.99989295005798,True,168200.0
1789278000.129,225.99989295005798,True,171355.0
1789278002.129,227.99989295005798,True,171354.0
1789278004.129,229.99989295005798,True,171355.0
1789278006.129,231.99989295005798,True,173505.0
1789278008.129,233.99989295005798,True,173504.0
1789278010.129,235.99989295005798,True,176579.0
1789278012.129,237.99989295005798,True,176583.0
1789278014.129,239.99989295005798,True,176583.0
