t_bucket,pods,throughput,p99_max,p99_med,window_total,window_viol,total_lag,max_lag,viol_rate,skew_ratio
30,8,90.300001,4526.05,2968.5860000000002,5418,2197,244.0,147.0,0.405500184569952,6.157068
60,8,227.433334,11240.675,1187.0315,13646,5112,1078.0,774.0,0.37461527187454197,6.318367
90,8,277.16666699999996,16926.684,932.0215000000001,16630,5822,1731.0,1281.0,0.3500901984365604,6.310345
120,8,276.133332,23417.934,1188.4859999999999,16568,5854,2479.0,1855.0,0.35333172380492517,6.235294
150,8,273.266666,29633.749,987.7345,16396,5945,3287.0,2526.0,0.3625884362039522,6.301216
180,8,276.45,35946.242,1015.206,16587,5985,3976.0,3061.0,0.36082474226804123,6.316224
210,8,280.383332,40694.698,1017.7494999999999,16823,6070,4630.0,3603.0,0.3608155501396897,6.391131
240,8,282.483333,46237.889,1198.8029999999999,16949,6194,5190.0,3992.0,0.3654492890436014,6.299014
270,8,281.366666,56266.969,1057.556,16882,6232,5713.0,4489.0,0.369150574576472,6.393448
300,8,279.78333299999997,64583.219,1192.7089999999998,16787,6218,6337.0,4993.0,0.370405671054983,6.433242
330,8,279.21666700000003,62879.342,1080.3825000000002,16753,6177,6910.0,5737.0,0.36871008177639825,6.729619
360,8,279.59999799999997,70107.12,1072.4005000000002,16776,6161,7540.0,6354.0,0.36725083452551266,6.82767
390,8,280.583334,74439.392,890.317,16835,6122,8140.0,6913.0,0.36364716364716365,6.874332
420,8,280.999999,82490.804,1115.05,16860,6113,8712.0,7414.0,0.3625741399762752,6.892737
450,8,280.71666700000003,90356.612,1158.4270000000001,16843,6114,9269.0,8095.0,0.36299946565338714,7.045257
480,8,280.983333,95139.839,968.9950000000001,16859,6099,9905.0,8750.0,0.3617652292544042,7.15966
510,8,283.133334,102844.057,1311.818,16988,6198,10396.0,9241.0,0.3648457734871674,7.182357
540,8,282.266667,109457.353,1112.662,16936,6219,10986.0,9809.0,0.36720595181861126,7.219799
570,8,279.583332,115310.389,975.845,16775,6145,11524.0,10291.0,0.36631892697466467,7.198391
600,8,280.25,120913.357,930.836,16815,6115,12172.0,10891.0,0.36366339577757956,7.204829
630,8,281.066666,128009.913,1070.2910000000002,16864,6120,12688.0,11548.0,0.3629032258064516,7.334974
660,8,280.583334,133230.268,998.069,16835,6158,13316.0,12146.0,0.36578556578556576,7.35397
690,8,281.416667,139344.52,1213.464,16885,6159,13848.0,12585.0,0.3647616227420788,7.313671
720,8,282.783332,146020.131,820.349,16967,6087,14413.0,13196.0,0.35875523074202864,7.365381
750,8,281.9,152087.597,1018.533,16914,6075,14971.0,13829.0,0.35916991841078394,7.430951
780,8,281.01666700000004,158144.032,1189.4270000000001,16861,6162,15557.0,14375.0,0.3654587509637625,7.426542
810,8,278.983333,164104.527,755.6965,16739,6102,16169.0,14996.0,0.3645379054901727,7.456987
840,8,276.84999899999997,168029.055,1074.0055,16611,6043,16878.0,15688.0,0.3637950755523448,7.4647
870,8,279.799999,174770.231,876.7775,16788,6070,17455.0,16354.0,0.3615677865141768,7.53684
900,8,281.25,180486.996,1085.8615,16875,6161,18065.0,16930.0,0.3650962962962963,7.535748
930,8,281.8,187962.594,1186.0955,16908,6238,18610.0,17371.0,0.36893778093210317,7.510972
960,8,280.866667,193742.571,1307.4045,16852,6272,19216.0,18030.0,0.37218134346071685,7.544328
990,8,281.21666600000003,199053.961,973.543,16873,6222,19738.0,18682.0,0.3687548153855272,7.609776
1020,8,282.033334,206179.619,1058.6889999999999,16922,6123,20336.0,19130.0,0.36183666233305756,7.558651
1050,8,280.933332,213858.169,996.961,16856,6154,20891.0,19657.0,0.3650925486473659,7.563657
1080,8,280.883334,218936.601,828.0350000000001,16853,6096,21472.0,20202.0,0.3617160149528274,7.559921
1110,8,280.59999999999997,226901.194,780.7615000000001,16836,6061,22042.0,20901.0,0.3600023758612497,7.612821
1140,8,280.999999,233799.057,962.2605,16860,6126,22659.0,21499.0,0.3633451957295374,7.623421
1170,8,280.95,238829.388,940.994,16857,6145,23240.0,22095.0,0.36453698760158987,7.639381
1200,8,282.266667,244218.935,1130.9735,16936,6177,23750.0,22542.0,0.3647260273972603,7.626168
1230,8,281.85,250442.879,1129.601,16911,6209,24323.0,23193.0,0.3671574714682751,7.659827
1260,8,281.816667,257648.208,917.2660000000001,16909,6188,24855.0,23676.0,0.36595895676858475,7.658728
1290,8,282.883334,263264.626,989.741,16973,6115,25398.0,24178.0,0.36027808872915806,7.647938
1320,8,282.066666,268258.55,933.2985,16924,6158,25893.0,24764.0,0.3638619711652092,7.676379
1350,8,280.949998,274887.265,922.95,16857,6197,26519.0,25307.0,0.3676217595064365,7.665013
1380,8,279.016667,281826.8,1003.6120000000001,16741,6159,27183.0,25916.0,0.3678991697031241,7.656695
1410,8,279.366667,285507.104,1174.8675,16762,6196,27767.0,26453.0,0.36964562701348286,7.648968
1440,8,281.15,294128.378,1052.6535,16869,6161,28330.0,27070.0,0.3652261544845575,7.669098
1470,8,281.483333,299888.169,933.6234999999999,16889,6160,28880.0,27755.0,0.3647344425365623,7.710793
1500,8,282.033333,307625.9,805.5215000000001,16922,6120,29468.0,28309.0,0.3616593783240752,7.704964
1530,8,282.116667,312017.003,1061.3075,16927,6109,30009.0,28786.0,0.36090269982867607,7.694477
1560,8,280.6,317716.151,891.241,16836,6130,30595.0,29423.0,0.36410073651698743,7.718014
1590,8,280.28333299999997,325314.952,943.3820000000001,16817,6089,31208.0,29809.0,0.36207409169292976,7.662736
1620,8,280.616667,331424.074,890.574,16837,6061,31739.0,30532.0,0.35998099423887864,7.715703
1650,8,281.4,336406.646,898.856,16884,6084,32336.0,31176.0,0.3603411513859275,7.731184
1680,8,268.0,344876.779,1016.355,16080,6105,32871.0,31738.0,0.37966417910447764,7.744045
