Metric,Value
Mean Throughput (msg/s),5993.0
Std Throughput (msg/s),71.6
Mean Latency (ms),92.0
p99 Latency (ms),1282.0
Mean Total Lag (messages),112.0
Std Total Lag (messages),32.0
Mean Lag Skew Ratio,0.663
Std Lag Skew Ratio,0.0774
