producer_timestamp,latency_sec,msg_rate_per_sec,throughput_KBps,size_bytes
1752722335.092055,92.40456306600571,89.34303675337144,11.082593638676803,130.576
1752722220.9966786,209.116672413826,99.15808399101606,12.2989767740897,129.666
1752722401.662994,28.289571799755098,102.5777005515396,12.730922934933398,130.402
1752722356.8914633,120.6106557803154,70.24910285247051,8.7211334232537,130.27
1752722449.986458,0.47475734710693357,113.67072471836762,14.111136846508694,130.234
1752722183.142434,233.5000858707428,14.749478026675462,1.8177537166311,129.726
1752722255.103417,160.93730403470994,23.275625817889193,2.8851863831377997,130.348
1752722362.0563145,74.46239361190796,138.1847606503641,17.145456407581896,130.204
1752722468.2205195,0.7558018803596497,213.973372093427,26.5628439117541,129.948
1752722289.3063674,132.55982762384414,59.244377087046345,7.344893700702903,129.58
1752722263.5975497,152.47469910860062,25.04896065054938,3.1061019437234,130.622
1752722431.420092,22.138490262031556,196.45865298840937,24.383879447525793,130.268
1752722394.9500363,70.62444482040405,63.703145110109446,7.908664120156398,130.074
1752722412.9042964,117.11891083478928,131.7191507025052,16.344122845038,129.586
1752722403.5978816,31.606123237133026,130.14877351493243,16.150133688042196,130.52
1752722171.7489147,242.94974185037614,14.206458006864695,1.7572832910211997,128.968
1752722289.341845,51.34840186309815,58.40047937902081,7.2503625444518,130.524
1752722294.6169162,145.73894607257844,167.66331812232437,20.808597556023496,130.158
1752722290.3263464,144.00798701763154,120.34259288216836,14.930830853219103,130.518
1752722303.5082307,139.47469051456451,26.06406225619144,3.2336021254971987,130.162
1752722405.6349645,36.150251484394076,145.65796938960506,18.073536055917103,130.612
1752722265.63698,199.38020338630676,9.43090674320337,1.1678294870877999,130.178
1752722349.0384896,69.1523103094101,84.61556254032595,10.501521747110198,130.492
1752722361.4693763,66.678908390522,76.79317804353157,9.5327599238232,129.992
1752722235.9264262,194.16266762685777,156.70033118052223,19.442820705281004,129.462
1752722174.4698412,238.82480762672424,12.967546379764455,1.5972661450301,129.142
1752722355.4521437,85.85776623916625,136.5897424520745,16.947386625554003,130.434
1752722250.2030692,169.60713258743286,44.094655508239164,5.4728497897335995,130.068
1752722165.873589,199.58696411800383,8.938264768535051,1.1060823057513,129.874
1752722333.014655,86.25137522268295,38.9398570496493,4.8303968295735995,130.672
