pair,run_id,action,admitted_evaluation_cohort,completed_by_drain,incomplete_by_drain,duplicate_completion_attempts,admitted_messages_per_second,useful_throughput_per_second,deadline_miss_fraction,admitted_cohort_completion_mean_seconds,admitted_cohort_completion_p50_seconds,admitted_cohort_completion_p95_seconds,admitted_cohort_completion_p99_seconds,unfinished_fraction,target_admission_fraction,lag_covered_fraction,consumer_process_seconds,processing_backlog_area_offset_seconds,mean_processing_backlog_offsets,evaluation_and_drain_requested_cpu_seconds,evaluation_and_drain_resource_coverage,quality_flags
80-20-s71-repeat,run-20260913-025849,none,360000,360000,0,0,1500.0,1281.8416666666667,0.7776888888888889,34.27169470247163,30.885420083999634,101.6061360836029,115.68209099769592,0.0,1.0,0.9916666666666667,1397.1709328119177,9106537.0,38262.76050420168,2160.0,1.0,
80-20-s71-repeat,run-20260913-030934,scale,360000,360000,0,0,1500.0,1486.5125,0.7481111111111111,15.576687823859189,18.768168687820435,39.5794563293457,50.95355701446533,0.0,1.0,0.9083333333333333,2061.5195987646566,4849734.0,22246.48623853211,3809.9528102874756,0.9583212892214458,
