index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec,merge_timestamp,end_to_end_delay,is_late,is_out_of_order,is_duplicate,is_missing_critical,source_file
3049131,synthetic_1,103,1750889599.924956,1751153788.261817,264188.3368608952,1751153790.58152,2.3197031021118164,1751153798.4378092,264198.5128531456,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049141,synthetic_1,104,1750889599.9251316,1751153788.261853,264188.3367214203,1751153790.58152,2.319667100906372,1751153798.4378092,264198.5126776695,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049151,synthetic_1,97,1750889599.9253066,1751153788.2618632,264188.33655667305,1751153790.58152,2.3196568489074707,1751153798.4378092,264198.5125026703,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049161,synthetic_1,82,1750889599.9254627,1751153788.2618706,264188.33640789986,1751153790.58152,2.3196494579315186,1751153798.4378092,264198.5123465061,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049171,synthetic_1,95,1750889599.92562,1751153788.2618773,264188.3362572193,1751153790.58152,2.319642782211304,1751153798.4378092,264198.51218914986,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049181,synthetic_1,84,1750889599.9257846,1751153788.2618897,264188.33610486984,1751153790.58152,2.3196303844451904,1751153798.4378092,264198.51202464104,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049191,synthetic_1,88,1750889599.9259353,1751153788.261896,264188.335960865,1751153790.58152,2.319624185562134,1751153798.4378092,264198.5118739605,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049201,synthetic_1,90,1750889599.9261084,1751153788.2619026,264188.33579421043,1751153790.58152,2.319617509841919,1751153798.4378092,264198.5117008686,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049211,synthetic_1,98,1750889599.9262722,1751153788.2619092,264188.3356370926,1751153790.58152,2.319610834121704,1751153798.4378092,264198.51153707504,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049221,synthetic_1,90,1750889599.926442,1751153788.2619162,264188.3354742527,1751153790.58152,2.31960391998291,1751153798.4378092,264198.511367321,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049231,synthetic_1,96,1750889599.926597,1751153788.261923,264188.33532595634,1751153790.58152,2.319597005844116,1751153798.4378092,264198.5112121105,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049241,synthetic_1,104,1750889599.9267514,1751153788.2619295,264188.3351781368,1751153790.58152,2.3195905685424805,1751153798.4378092,264198.5110578537,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049251,synthetic_1,83,1750889599.926901,1751153788.2619362,264188.33503484726,1751153790.58152,2.3195838928222656,1751153798.4378092,264198.51090812683,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049261,synthetic_1,91,1750889599.9270492,1751153788.2619426,264188.33489346504,1751153790.58152,2.31957745552063,1751153798.4378092,264198.5107600689,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049271,synthetic_1,82,1750889599.927198,1751153788.2619486,264188.3347506523,1751153790.58152,2.3195714950561523,1751153798.4378092,264198.5106112957,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049281,synthetic_1,103,1750889599.927348,1751153788.261955,264188.3346068859,1751153790.58152,2.3195650577545166,1751153798.4378092,264198.5104613304,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049291,synthetic_1,104,1750889599.9274914,1751153788.2619617,264188.33447027206,1751153790.58152,2.3195583820343018,1751153798.4378092,264198.51031780243,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049301,synthetic_1,93,1750889599.927669,1751153788.2619686,264188.3342995644,1751153790.58152,2.319551467895508,1751153798.4378092,264198.5101401806,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049311,synthetic_1,88,1750889599.927813,1751153788.2619786,264188.3341655731,1751153790.58152,2.319541454315185,1751153798.4378092,264198.50999617577,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049321,synthetic_1,82,1750889599.927961,1751153788.2619853,264188.3340239525,1751153790.58152,2.3195347785949707,1751153798.4378092,264198.5098481178,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049331,synthetic_1,104,1750889599.9281063,1751153788.2619915,264188.3338854313,1751153790.58152,2.319528579711914,1751153798.4378092,264198.5097029209,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049341,synthetic_1,104,1750889599.928252,1751153788.2619984,264188.33374643326,1751153790.58152,2.31952166557312,1751153798.4378092,264198.50955724716,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049351,synthetic_1,90,1750889599.928401,1751153788.2620049,264188.33360385895,1751153790.58152,2.3195152282714844,1751153798.4378092,264198.50940823555,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049361,synthetic_1,84,1750889600.1201022,1751153788.262011,264188.14190888405,1751153790.58152,2.319509029388428,1751153798.4378092,264198.31770706177,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049371,synthetic_1,100,1750889600.120386,1751153788.2620173,264188.1416313648,1751153790.58152,2.319502830505371,1751153798.4378092,264198.31742334366,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049381,synthetic_1,90,1750889600.1208773,1751153788.2620242,264188.14114689827,1751153790.58152,2.319495916366577,1751153798.4378092,264198.31693196297,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049391,synthetic_1,84,1750889600.1212523,1751153788.2620306,264188.14077830315,1751153790.58152,2.3194894790649414,1751153798.4378092,264198.31655693054,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049401,synthetic_1,102,1750889600.1221888,1751153788.262037,264188.13984823227,1751153790.58152,2.3194830417633057,1751153798.4378092,264198.31562042236,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200691,synthetic_1,91,1750889600.2248523,1751153788.2620437,264188.037191391,1751153790.58152,2.319476366043091,1751153798.4378092,264198.21295690536,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200701,synthetic_1,98,1750889600.2250051,1751153788.2620502,264188.037045002,1751153790.58152,2.319469928741455,1751153798.4378092,264198.21280407906,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200711,synthetic_1,90,1750889600.2251637,1751153788.262058,264188.03689455986,1751153790.58152,2.3194620609283447,1751153798.4378092,264198.2126455307,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200721,synthetic_1,104,1750889600.225317,1751153788.262066,264188.0367488861,1751153790.58152,2.3194541931152344,1751153798.4378092,264198.21249222755,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3049411,synthetic_1,81,1750889600.1225998,1751153788.2620733,264188.13947343826,1751153790.58152,2.3194468021392822,1751153798.4378092,264198.31520938873,True,True,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200731,synthetic_1,97,1750889600.2254784,1751153788.262081,264188.0366022587,1751153790.58152,2.319439172744751,1751153798.4378092,264198.2123308182,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200741,synthetic_1,81,1750889600.22563,1751153788.2620876,264188.0364575386,1751153790.58152,2.319432497024536,1751153798.4378092,264198.21217918396,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200751,synthetic_1,83,1750889600.2257862,1751153788.2620935,264188.0363073349,1751153790.58152,2.3194265365600586,1751153798.4378092,264198.2120230198,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200761,synthetic_1,84,1750889600.2259352,1751153788.2621007,264188.03616547585,1751153790.58152,2.319419384002685,1751153798.4378092,264198.2118740082,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200771,synthetic_1,84,1750889600.226092,1751153788.262108,264188.0360162258,1751153790.58152,2.3194119930267334,1751153798.4378092,264198.21171712875,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200781,synthetic_1,95,1750889600.2262435,1751153788.2621152,264188.03587150574,1751153790.58152,2.3194048404693604,1751153798.4378092,264198.21156573296,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200791,synthetic_1,95,1750889600.226404,1751153788.262122,264188.0357179642,1751153790.58152,2.319398164749145,1751153798.4378092,264198.21140527725,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200801,synthetic_1,97,1750889600.2265513,1751153788.2621305,264188.03557896614,1751153790.58152,2.319389581680298,1751153798.4378092,264198.21125793457,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200811,synthetic_1,103,1750889600.226714,1751153788.2621372,264188.0354232788,1751153790.58152,2.319382905960083,1751153798.4378092,264198.2110953331,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200821,synthetic_1,104,1750889600.2268698,1751153788.262144,264188.0352742672,1751153790.58152,2.319375991821289,1751153798.4378092,264198.21093940735,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200831,synthetic_1,97,1750889600.2270224,1751153788.2621522,264188.03512978554,1751153790.58152,2.3193678855896,1751153798.4378092,264198.21078681946,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200841,synthetic_1,84,1750889600.2271774,1751153788.2621586,264188.0349812508,1751153790.58152,2.319361448287964,1751153798.4378092,264198.2106318474,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200851,synthetic_1,105,1750889600.2273254,1751153788.262165,264188.0348396301,1751153790.58152,2.319355010986328,1751153798.4378092,264198.21048378944,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200861,synthetic_1,103,1750889600.2274802,1751153788.2621715,264188.0346915722,1751153790.58152,2.3193485736846924,1751153798.4378092,264198.2103290558,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200871,synthetic_1,82,1750889600.227642,1751153788.262178,264188.03453588486,1751153790.58152,2.3193421363830566,1751153798.4378092,264198.2101671696,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200881,synthetic_1,105,1750889600.2277966,1751153788.2621844,264188.0343878269,1751153790.58152,2.319335699081421,1751153798.4378092,264198.21001267433,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200891,synthetic_1,90,1750889600.2279449,1751153788.262191,264188.0342462063,1751153790.58152,2.319329023361206,1751153798.4378092,264198.209864378,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200901,synthetic_1,102,1750889600.2280989,1751153788.2621975,264188.0340986252,1751153790.58152,2.3193225860595703,1751153798.4378092,264198.2097103596,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200911,synthetic_1,104,1750889600.2282517,1751153788.2622042,264188.033952713,1751153790.58152,2.3193159103393555,1751153798.4378092,264198.20955753326,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200921,synthetic_1,83,1750889600.2284043,1751153788.2622108,264188.033806324,1751153790.58152,2.3193092346191406,1751153798.4378092,264198.2094049454,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200931,synthetic_1,101,1750889600.318735,1751153788.2622175,264187.9434826374,1751153790.58152,2.319302558898926,1751153798.4378092,264198.11907434464,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200941,synthetic_1,81,1750889600.31964,1751153788.2622244,264187.9425845146,1751153790.58152,2.319295644760132,1751153798.4378092,264198.1181693077,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200951,synthetic_1,95,1750889600.3201032,1751153788.2622309,264187.9421277046,1751153790.58152,2.319289207458496,1751153798.4378092,264198.1177060604,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200961,synthetic_1,105,1750889600.3207488,1751153788.262239,264187.94149017334,1751153790.58152,2.319281101226806,1751153798.4378092,264198.1170604229,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200971,synthetic_1,83,1750889600.3213198,1751153788.262246,264187.940926075,1751153790.58152,2.3192741870880127,1751153798.4378092,264198.1164894104,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200981,synthetic_1,83,1750889600.3219018,1751153788.2622523,264187.94035053253,1751153790.58152,2.319267749786377,1751153798.4378092,264198.11590743065,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3200991,synthetic_1,89,1750889600.3224237,1751153788.2622588,264187.93983531,1751153790.58152,2.319261312484741,1751153798.4378092,264198.1153855324,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201001,synthetic_1,103,1750889600.3230414,1751153788.2622652,264187.9392237663,1751153790.58152,2.319254875183105,1751153798.4378092,264198.11476778984,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201011,synthetic_1,91,1750889600.3234642,1751153788.2622733,264187.9388091564,1751153790.58152,2.319246768951416,1751153798.4378092,264198.1143450737,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201021,synthetic_1,105,1750889600.3238533,1751153788.2622795,264187.9384264946,1751153790.58152,2.31924057006836,1751153798.4378092,264198.1139559746,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201031,synthetic_1,97,1750889600.3241465,1751153788.2622864,264187.9381401539,1751153790.58152,2.319233655929565,1751153798.4378092,264198.1136627197,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201041,synthetic_1,103,1750889600.3244538,1751153788.2622926,264187.9378387928,1751153790.58152,2.319227457046509,1751153798.4378092,264198.1133553982,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
3201051,synthetic_1,87,1750889600.420793,1751153788.2622995,264187.8415064812,1751153790.58152,2.319220542907715,1751153798.4378092,264198.0170161724,True,False,False,False,consumer_pod0_proc0_20250628_233628_266274.csv
