index,producer_timestamp,consumer_receive_timestamp,end_to_end_latency_seconds,size_bytes,msg_rate_per_sec,mb_rate_per_sec,is_out_of_order,is_duplicate,source_file,is_late,merge_timestamp,end_to_end_delay_ms
211674,1752520306.5530956,1752702159.8444378,181853.29134225845,b'135',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898582.0426941
209374,1752520306.5817437,1752702159.8444457,181853.26270222664,b'136',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898553.39455605
211684,1752520306.587459,1752702159.8444529,181853.2569937706,b'127',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898547.67918587
209384,1752520306.6171596,1752702159.8444605,181853.22730088237,b'121',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898517.9786682
211694,1752520306.6217854,1752702159.8444676,181853.22268223765,b'124',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898513.35287094
209394,1752520306.6524143,1752702159.844474,181853.19205975533,b'134',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898482.72395134
211704,1752520306.6561615,1752702159.8444812,181853.18831968307,b'135',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898478.97672653
209404,1752520306.6877434,1752702159.8444884,181853.15674495697,b'136',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898447.39484787
211714,1752520306.6904993,1752702159.8444953,181853.15399599075,b'141',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898444.6389675
209414,1752520306.7232268,1752702159.8445015,181853.1212747097,b'142',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898411.91148758
211724,1752520306.7249105,1752702159.844509,181853.11959838867,b'136',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898410.22777557
209424,1752520306.75875,1752702159.8445177,181853.08576750755,b'139',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898376.3883114
211734,1752520306.759254,1752702159.8445246,181853.08527064323,b'134',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898375.8842945
209434,1752520306.794331,1752702159.8445306,181853.05019950867,b'141',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898340.80719948
211744,1752520306.793561,1752702159.8445394,181853.05097842216,b'133',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898341.5772915
209444,1752520306.8298068,1752702159.8445458,181853.01473903656,b'142',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898305.33146858
211754,1752520306.8280325,1752702159.8445532,181853.0165207386,b'142',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898307.10577965
209454,1752520306.865193,1752702159.8445609,181852.97936797145,b'142',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898269.94538307
211764,1752520306.8624554,1752702159.844567,181852.98211169243,b'129',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898272.6829052
209464,1752520306.900542,1752702159.8445745,181852.94403243065,b'141',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898234.59625244
211774,1752520306.8968253,1752702159.844612,181852.9477865696,b'128',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898238.31295967
209474,1752520306.9356842,1752702159.8446195,181852.9089353085,b'122',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898199.45406914
211784,1752520306.931228,1752702159.8446257,181852.913397789,b'133',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898203.9103508
209484,1752520306.9710102,1752702159.8446329,181852.87362265587,b'141',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898164.1280651
211794,1752520306.9655938,1752702159.8446414,181852.87904763225,b'129',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898169.5444584
209494,1752520307.0063212,1752702159.8446493,181852.8383281231,b'120',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898128.81708145
211804,1752520307.0000274,1752702159.844655,181852.8446276188,b'122',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898135.1108551
209504,1752520307.0417094,1752702159.8446622,181852.8029527664,b'121',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898093.42885017
211814,1752520307.034507,1752702159.844669,181852.81016230583,b'142',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898100.63123703
209514,1752520307.0770223,1752702159.8446765,181852.7676539421,b'141',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898058.11595917
211824,1752520307.0689008,1752702159.8446834,181852.77578258517,b'120',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898066.23744965
209524,1752520307.112334,1752702159.8446896,181852.73235559464,b'128',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898022.80426025
211834,1752520307.1033676,1752702159.8446968,181852.74132919312,b'129',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181898031.77070618
209534,1752520307.1475046,1752702159.8447042,181852.69719958305,b'142',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181897987.63370514
211844,1752520307.1378033,1752702159.8447115,181852.706908226,b'136',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181897997.33495712
209544,1752520307.1827676,1752702159.8447213,181852.66195368767,b'143',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181897952.37064362
211854,1752520307.1723158,1752702159.8447285,181852.6724126339,b'133',27627.240819284238,3.457224026836689,False,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181897962.8224373
209554,1752520307.217944,1752702159.8447375,181852.62679362297,b'142',27627.240819284238,3.457224026836689,True,False,batch_consumer-sts-3_20250716_214311_617181.csv,True,1752702205.1351383,181897917.19436646
