timestamp,batch_size,throughput_MBps,late_arrival_rate,out_of_order_rate,duplicate_rate,missing_rate_index,missing_rate_fields
2025-06-28T22:45:38.575068,92500,15.730122379188927,0.0,0.03103783783783784,0.1063027027027027,0.9409165661894984,0.0
2025-06-28T22:45:45.299517,3000,0.03513257377281415,1.0,0.019,0.06733333333333333,0.9975362930103101,0.0
2025-06-28T22:45:48.741199,2500,0.07790047831112262,1.0,0.0116,0.1316,0.9962936089936747,0.0
2025-06-28T22:45:55.031589,2500,0.06306660377779545,0.8,0.0372,0.0428,0.9998100945725854,0.0
2025-06-28T22:45:58.949803,3000,0.05871881112522238,0.8333333333333334,0.044333333333333336,0.0013333333333333333,0.9977918615800867,0.0
2025-06-28T22:46:04.645207,2500,0.04800066371092417,1.0,0.0192,0.074,0.9978253027667033,0.0
2025-06-28T22:46:09.253975,3000,0.07185350684467084,1.0,0.034333333333333334,0.009333333333333334,0.996779244986535,0.0
2025-06-28T22:46:15.372839,3000,0.05434334142030244,0.798,0.03933333333333333,0.058,0.9971936528490978,0.0
2025-06-28T22:46:21.294991,2500,0.04762578019565568,0.6,0.0264,0.0,0.9980423479295871,0.0
2025-06-28T22:46:26.033717,2500,0.05745320954036191,1.0,0.0444,0.0,0.9972084848660798,0.0
2025-06-28T22:46:32.086558,3000,0.05570212721376289,0.8333333333333334,0.016666666666666666,0.004,0.9980416060403476,0.0
2025-06-28T22:46:51.594505,9000,16.405448165669352,0.0,0.026444444444444444,0.02788888888888889,0.9943882852488037,0.0
2025-06-28T22:46:57.611635,2500,0.04444646604116904,1.0,0.0292,0.0056,0.9967129967526629,0.0
2025-06-28T22:47:03.022372,2500,0.05042702248250748,0.8,0.0324,0.03,0.9976838497950327,0.0
2025-06-28T22:47:08.931520,3000,0.057271956567323874,0.5036666666666667,0.018333333333333333,0.0,0.9982001763827145,0.0
2025-06-28T22:47:14.764767,2500,0.04740538084819393,1.0,0.0296,0.0332,0.9981937641894507,0.0
2025-06-28T22:47:19.384528,3000,0.07112596646691095,1.0,0.030666666666666665,0.0,0.9972390537685075,0.0
2025-06-28T22:47:26.917368,3000,0.04376907519915014,1.0,0.04566666666666667,0.032,0.9964085275210183,0.0
2025-06-28T22:47:35.041130,2500,0.03437650012804434,0.6,0.0056,0.0044,0.99788453594929,0.0
2025-06-28T22:47:41.423991,2500,0.043991451072978,0.8,0.0372,0.0368,0.9982533574633063,0.0
2025-06-28T22:47:48.320691,2500,0.04038426907797938,0.8,0.026,0.0388,0.9983231323301901,0.0
2025-06-28T22:47:53.911073,2500,0.048861569516891364,1.0,0.02,0.0,0.9970471999187389,0.0
2025-06-28T22:47:59.833205,2500,0.04769457053792667,0.8,0.0232,0.0,0.9981720014974964,0.0
2025-06-28T22:48:05.491964,3000,0.059514070602588766,0.676,0.038,0.034333333333333334,0.9982387987111678,0.0
2025-06-28T22:48:11.075680,3000,0.05865192045042604,0.5053333333333333,0.029,0.0,0.9968738635191335,0.0
2025-06-28T22:48:15.611729,2500,0.06167262068024985,1.0,0.0368,0.0,0.9976192154076761,0.0
2025-06-28T22:48:21.152502,2500,0.051102418846950666,0.4,0.0148,0.0,0.9985583258125996,0.0
2025-06-28T22:48:26.901495,2500,0.048789329404312395,1.0,0.0408,0.0,0.9982830814155925,0.0
2025-06-28T22:48:33.009171,2500,0.04527263462259925,0.8,0.0304,0.0,0.9983757300281388,0.0
2025-06-28T22:48:40.209837,3000,0.0455555256256346,1.0,0.04133333333333333,0.0,0.9943859649122807,0.0
2025-06-28T22:48:46.901632,2500,0.041782349187281805,0.684,0.0248,0.0,0.9967103878058023,0.0
2025-06-28T22:48:53.519412,2500,0.04209058380281295,0.8,0.0252,0.0,0.997047391724902,0.0
2025-06-28T23:33:39.639507,3000,0.2796995060920632,0.0,0.034666666666666665,0.0,0.9850403163474436,0.0
2025-06-28T23:33:46.299260,3000,0.05007915145575793,1.0,0.02666666666666667,0.014333333333333333,0.9846052124657692,0.0
2025-06-28T23:33:53.839145,2500,0.03782366401896386,0.0,0.0512,0.0,0.9982590723223139,0.0
2025-06-28T23:34:00.044265,2500,0.04532532796262324,0.6,0.024,0.0,0.9984647271052429,0.0
2025-06-28T23:34:07.180153,2500,0.03861153138152832,0.9396,0.048,0.0,0.9984177325347735,0.0
2025-06-28T23:34:17.685752,2500,0.02599997571452505,1.0,0.0276,0.0,0.9961526505160065,0.0
2025-06-28T23:34:27.281600,3000,0.034575930678851376,1.0,0.023333333333333334,0.0,0.9952825886637461,0.0
2025-06-28T23:34:35.019827,2500,0.03580430014239105,0.4,0.0396,0.0,0.9972105312487447,0.0
2025-06-28T23:34:44.117151,2500,0.03081515204427915,0.6,0.0392,0.0,0.9984157994224638,0.0
2025-06-28T23:34:49.771877,2500,0.04896284240401408,1.0,0.0212,0.0,0.9981718838663632,0.0
2025-06-28T23:34:59.801307,3000,0.03332883379802672,0.6666666666666666,0.039,0.0,0.9981844842392051,0.0
2025-06-28T23:35:06.958150,2500,0.03892744872181871,0.8,0.0416,0.0,0.9987882671299041,0.0
2025-06-28T23:35:15.954543,2500,0.031138400614144652,0.8,0.0176,0.0,0.9986614523991056,0.0
2025-06-28T23:35:23.638250,2500,0.03575365410723416,1.0,0.0536,0.0,0.9981765507341936,0.0
2025-06-28T23:35:32.814749,3000,0.03630898397400659,0.8333333333333334,0.03333333333333333,0.0,0.9982756242240309,0.0
2025-06-28T23:35:43.573335,3000,0.03088971072914693,0.6693333333333333,0.035333333333333335,0.0,0.9983117157919854,0.0
2025-06-28T23:35:51.757067,2500,0.03429243736246402,0.8312,0.0184,0.0,0.9989034284528735,0.0
2025-06-28T23:35:59.931257,2500,0.03354613979990434,1.0,0.028,0.0,0.998597197649801,0.0
2025-06-28T23:36:08.234799,2500,0.03332078207310958,0.8,0.0084,0.0,0.9986170416972991,0.0
2025-06-28T23:36:18.866372,3000,0.031360973906469566,0.9866666666666667,0.028666666666666667,0.0,0.9982449684708585,0.0
2025-06-28T23:36:28.674036,3000,0.03397426600132411,0.8866666666666667,0.025333333333333333,0.0,0.998561083446608,0.0
2025-06-28T23:36:38.578261,2000,0.021894860863924753,1.0,0.053,0.0,0.9973917851665606,0.0
2025-06-28T23:36:48.941681,2000,0.02145838630453844,0.75,0.05,0.0,0.9988419317967312,0.0
2025-06-28T23:36:55.607284,2500,0.041993478107869284,0.6,0.0244,0.0,0.9985645416524078,0.0
2025-06-28T23:37:04.326368,2500,0.03221298941286037,0.9076,0.0436,0.0,0.998877692247951,0.0
2025-06-28T23:37:11.590274,2500,0.03753011007531605,1.0,0.0196,0.0,0.99840999995548,0.0
2025-06-28T23:37:21.865965,3000,0.032927707450854334,0.501,0.034333333333333334,0.0,0.9988862923000106,0.0
2025-06-28T23:37:32.547692,2000,0.020157415838728883,1.0,0.0695,0.0,0.9976700811627227,0.0
2025-06-28T23:37:42.532395,3000,0.03343483681885734,1.0,0.026333333333333334,0.0,0.9967855374902762,0.0
2025-06-28T23:37:52.609727,2500,0.027981039883964883,0.304,0.0208,0.0,0.9982991797283994,0.0
2025-06-28T23:38:01.617019,2500,0.030731958512786227,0.8,0.0276,0.0,0.9986444199717064,0.0
2025-06-28T23:38:12.192957,2000,0.020759307339503798,0.75,0.022,0.0,0.9988401487161316,0.0
2025-06-28T23:38:22.453350,2000,0.02175802479683205,0.75,0.026,0.0,0.9991000485073854,0.0
2025-06-28T23:38:30.302396,2500,0.03485512124120796,1.0,0.022,0.0,0.9978469453752817,0.0
2025-06-28T23:38:49.705754,500,0.0028269524271008544,1.0,0.002,0.0,0.9972328450227184,0.0
2025-06-28T23:39:00.539745,2000,0.02078013283622248,0.0,0.0455,0.0,0.998637608676253,0.0
2025-06-28T23:39:11.110008,2500,0.026091579239452833,1.0,0.0328,0.0,0.9975051194947967,0.0
2025-06-28T23:39:22.007252,2000,0.02024887251013337,1.0,0.0185,0.0,0.9976268929977918,0.0
2025-06-28T23:41:35.136796,500,0.00041799392337397306,1.0,0.012,0.0,0.9981923420378089,0.0
2025-06-28T23:41:46.896920,2000,0.020093470047787183,0.25,0.039,0.008,0.999666368965991,0.0
2025-06-28T23:41:57.039196,2000,0.021454670115323166,0.75,0.06,0.0,0.9995966105605741,0.0
2025-06-28T23:42:05.763375,3000,0.039178148703259134,0.5,0.023,0.001,0.9994530091614121,0.0
2025-06-28T23:42:15.628451,1000,0.010960376720239083,0.618,0.025,0.0,0.999817197275947,0.0
