"Time","consumer-sts-0"
2026-06-19 12:34:30,411
2026-06-19 12:34:45,938
2026-06-19 12:35:00,812
2026-06-19 12:35:15,475
2026-06-19 12:35:30,668
2026-06-19 12:35:45,873
2026-06-19 12:36:00,848
2026-06-19 12:36:15,399
2026-06-19 12:36:30,767
2026-06-19 12:36:45,1022
2026-06-19 12:37:00,917
2026-06-19 12:37:15,408
2026-06-19 12:37:30,396
2026-06-19 12:37:45,476
2026-06-19 12:38:00,478
2026-06-19 12:38:15,429
