index,delay_sec,size_bytes,recv_timestamp,sent_timestamp,topic
2,12.147034406661987,78,1748877263.5237246,1748877251.3766901,synth_2
12,5.103553533554077,84,1748877263.5237305,1748877258.420177,synth_2
3,11.350397109985352,85,1748877263.5237324,1748877252.1733353,synth_3
13,4.4751622676849365,97,1748877263.5237336,1748877259.0485713,synth_3
8,7.837752342224121,85,1748877263.5237348,1748877255.6859825,synth_8
18,1.1761322021484375,92,1748877263.523736,1748877262.3476038,synth_8
9,7.143813133239746,77,1748877263.5237374,1748877256.3799243,synth_9
19,0.5476477146148682,85,1748877263.5237384,1748877262.9760907,synth_9
5,10.033245086669922,98,1748877263.5621705,1748877253.5289254,synth_5
15,3.2131290435791016,79,1748877263.5621738,1748877260.3490448,synth_5
1,13.187599897384644,78,1748877263.5621755,1748877250.3745756,synth_1
11,5.808031797409058,97,1748877263.5621767,1748877257.754145,synth_1
7,8.570326566696167,77,1748877263.5621781,1748877254.9918516,synth_7
17,1.8805639743804932,78,1748877263.562179,1748877261.681615,synth_7
6,9.30177116394043,85,1748877263.56218,1748877254.2604089,synth_6
16,2.5465736389160156,100,1748877263.5621812,1748877261.0156076,synth_6
4,10.741560220718384,99,1748877263.5702374,1748877252.8286772,synth_4
14,3.8933651447296143,77,1748877263.5702403,1748877259.676875,synth_4
0,14.212659120559692,85,1748877263.5702417,1748877249.3575826,synth_0
10,6.488607406616211,86,1748877263.570243,1748877257.0816355,synth_0
20,0.17331337928771973,79,1748877263.77759,1748877263.6042767,synth_0
21,0.16575360298156738,78,1748877264.4425046,1748877264.276751,synth_1
22,0.12781310081481934,78,1748877265.070557,1748877264.942744,synth_2
23,0.12790775299072266,85,1748877265.6987653,1748877265.5708575,synth_3
24,0.17218589782714844,99,1748877266.3714225,1748877266.1992366,synth_4
25,0.16545987129211426,95,1748877267.0367737,1748877266.8713138,synth_5
26,0.16559457778930664,76,1748877267.7029896,1748877267.537395,synth_6
27,0.16534042358398438,85,1748877268.368778,1748877268.2034376,synth_7
28,0.12781095504760742,92,1748877268.9972599,1748877268.869449,synth_8
