pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,viol_rate,t_bucket
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2448,46,40.8,30.0,1252,662.79,989.885,4.7,18.1,660.56,20.0,6.0,2.4,26155,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.018790849673202614,660
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2469,74,41.15,30.0,1217,566.767,989.443,4.7,18.1,690.59,17.0,4.0,1.882353,27372,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.029971648440664238,690
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2446,43,40.766667,30.0,1229,619.623,781.056,4.8,18.2,720.612,16.0,3.0,1.5,28601,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.01757972199509403,720
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2477,60,41.283333,30.0,1246,710.883,1459.82,4.8,18.1,750.63,28.0,8.0,2.285714,29847,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.024222850222042795,750
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2469,48,41.15,30.0,1215,263.098,631.169,4.7,18.2,780.635,12.0,6.0,4.0,31062,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.019441069258809233,780
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2495,21,41.583333,30.0,1279,473.244,862.038,6.5,18.2,810.666,21.0,11.0,4.190476,32342,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.008416833667334669,810
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2462,27,41.033333,30.0,1182,361.3,637.897,6.8,18.3,840.67,6.0,2.0,2.666667,33524,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.010966693744922826,840
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2419,13,40.316667,30.0,1234,282.589,643.791,6.8,18.2,870.7,19.0,7.0,2.947368,34761,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.005374121537825548,870
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2536,7,42.266667,30.0,1298,294.755,525.658,6.4,18.2,900.715,13.0,5.0,3.076923,36061,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.0027602523659305996,900
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2482,51,41.366667,30.0,1181,716.787,1070.057,6.0,18.1,930.745,26.0,7.0,2.153846,37244,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.02054794520547945,930
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2432,51,40.533333,30.0,1251,539.48,739.792,5.1,18.2,960.775,10.0,6.0,4.8,38496,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.020970394736842105,960
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2491,34,41.516667,30.0,1240,466.363,973.114,5.0,18.1,990.801,22.0,7.0,2.545455,39736,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.01364913689281413,990
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2445,41,40.75,30.0,1205,339.93,688.253,4.6,18.1,1020.829,12.0,5.0,3.333333,40941,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.016768916155419224,1020
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2411,19,40.183333,30.0,1205,322.215,799.195,4.8,18.1,1050.859,9.0,3.0,2.666667,42146,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.007880547490667772,1050
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2428,12,40.466667,30.0,1223,343.216,601.607,4.5,18.1,1080.89,18.0,10.0,4.444444,43369,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.004942339373970346,1080
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2452,10,40.866667,30.0,1229,245.044,719.265,4.7,18.1,1110.9,11.0,4.0,2.909091,44598,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.004078303425774877,1110
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2404,27,40.066667,30.0,1175,525.011,1052.776,4.5,18.1,1140.922,13.0,7.0,4.307692,45773,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.011231281198003328,1140
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2368,58,39.466667,30.0,1193,696.287,967.798,4.7,18.1,1170.948,27.0,12.0,3.555556,46966,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.024493243243243243,1170
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2448,87,40.8,30.0,1255,657.04,1188.16,4.7,18.1,1200.977,13.0,5.0,3.076923,48221,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.03553921568627451,1200
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2397,79,39.95,30.0,1142,592.183,947.497,4.6,18.1,1231.007,14.0,5.0,2.857143,49363,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.03295786399666249,1230
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2364,46,39.4,30.0,1222,409.933,779.139,4.4,18.1,1261.028,11.0,3.0,2.181818,50585,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.0194585448392555,1260
consumer-sts-5,balanced,B0-R100-20260224-000641_0,2354,50,39.233333,30.0,1132,572.611,971.175,4.7,18.1,1291.059,25.0,12.0,3.84,51717,consumer_metrics_run-20260224-000641_consumer-sts-5.csv,0.021240441801189464,1290
