block_id,file_name,computed_at,metric,block_max_value,rows_in_block
batch_consumer-sts-0_20250825_152405_199140,batch_consumer-sts-0_20250825_152405_199140.parquet,1756135447.2345958,application_consumer,0.09997332929188961,5000
batch_consumer-sts-1_20250825_152405_935035,batch_consumer-sts-1_20250825_152405_935035.parquet,1756135447.2418427,application_consumer,0.09998377441859178,5000
batch_consumer-sts-0_20250825_152527_266397,batch_consumer-sts-0_20250825_152527_266397.parquet,1756135527.6466873,application_consumer,0.09998360227981505,5000
batch_consumer-sts-1_20250825_152530_277304,batch_consumer-sts-1_20250825_152530_277304.parquet,1756135531.877156,application_consumer,0.09999240066831684,5000
batch_consumer-sts-0_20250825_152649_760348,batch_consumer-sts-0_20250825_152649_760348.parquet,1756135610.2021246,application_consumer,0.09998173137938365,5000
batch_consumer-sts-1_20250825_152654_828095,batch_consumer-sts-1_20250825_152654_828095.parquet,1756135616.4419692,application_consumer,0.09998237010926926,5000
batch_consumer-sts-0_20250825_152812_436492,batch_consumer-sts-0_20250825_152812_436492.parquet,1756135692.7152374,application_consumer,0.09998605519071715,5000
batch_consumer-sts-1_20250825_152815_688047,batch_consumer-sts-1_20250825_152815_688047.parquet,1756135696.953587,application_consumer,0.09997378127543922,5000
batch_consumer-sts-0_20250825_152936_881010,batch_consumer-sts-0_20250825_152936_881010.parquet,1756135777.3731494,application_consumer,0.0999872744657618,5000
batch_consumer-sts-1_20250825_152937_095624,batch_consumer-sts-1_20250825_152937_095624.parquet,1756135777.3800576,application_consumer,0.09999376568226762,5000
batch_consumer-sts-1_20250825_153059_372856,batch_consumer-sts-1_20250825_153059_372856.parquet,1756135859.813601,application_consumer,0.09997104051034103,5000
batch_consumer-sts-0_20250825_153101_087285,batch_consumer-sts-0_20250825_153101_087285.parquet,1756135861.999376,application_consumer,0.09998868104775019,5000
batch_consumer-sts-1_20250825_153222_745790,batch_consumer-sts-1_20250825_153222_745790.parquet,1756135944.3129344,application_consumer,0.09995591561503982,5000
batch_consumer-sts-0_20250825_153225_439937,batch_consumer-sts-0_20250825_153225_439937.parquet,1756135946.5504918,application_consumer,0.0999914882864221,5000
