run_dir,traffic_mode,poll_max_msg,target_rate,fetch_max_wait_ms,fetch_min_bytes,consumer_pods,partitions_seen,rebalance_events,sampled_messages,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_p999_ms,lat_max_ms,tail_amp_p99_p50,window_p99_mean_ms,window_p99_std_ms,window_p99_max_ms,throughput_mean_msg_s,throughput_median_msg_s,throughput_std_msg_s,throughput_max_msg_s,throughput_cv,lag_mean,lag_p95,lag_p99,lag_max,lag_nonzero_fraction,cpu_mean_percent,cpu_max_percent,mem_mean_percent,mem_max_percent,slo_violation_rate,partition_p99_cv,partition_msg_count_cv,partition_lag_mean_cv
../results/20260508_033947_balanced,balanced,5,1500.0,20,1,6,60,6,7625,13.839483261108398,129.87151145935064,734.9707126617369,2380.968475341798,3863.8763465882057,4176.79238319397,172.04171791823873,1672.6649000000002,1252.375900521756,3856.074,139.5801503347717,117.09779319078754,90.0145286584956,247.93498534505727,0.6448949112219972,0.39710703953712634,2.0,4.0,44,0.20752169720347155,13.655555555555557,38.6,16.369444444444444,31.9,0.11399319682518509,0.3952399844429644,0.08822412037188677,0.5886217632514549
../results/20260508_031721_balanced,balanced,10,1500.0,20,1,6,60,44,7468,26.54588222503662,103.15382480621341,427.9297828674306,1407.7546954154966,2221.459007024889,2558.8061809539795,53.03100057031744,1194.2006451612904,464.55081792003114,1951.016,135.9082707139126,99.63677563397647,95.7691536124586,257.0914902117459,0.7046602322978048,0.08867653362245026,0.0,2.0,27,0.04964574771185799,13.537837837837838,50.0,16.551351351351354,31.6,0.11156975193384902,0.40336022583236864,0.0936069887426239,0.5706498818252137
../results/20260508_044659_balanced,balanced,20,1500.0,5,1,6,60,6,7419,49.24535751342773,121.76895141601554,528.9191246032711,1926.2882995605453,2993.7175464630495,3202.913999557495,39.116140014524305,1128.364033333333,818.0984633190126,2877.105,139.68410736382987,113.83404352857855,98.44162766068901,257.89053136236515,0.704744652190688,0.021340082589583056,0.0,1.0,13,0.015025975755961103,13.047222222222222,50.0,16.783333333333335,33.2,0.1235382748643279,0.386493084159067,0.09176188910410668,0.5657642301084094
../results/20260508_023438_balanced,balanced,25,1500.0,20,1,6,60,6,7490,55.814146995544434,122.81939983367934,262.2170686721789,819.8751521110523,1525.079206705094,1850.600242614746,14.689378880528297,648.6244814814816,166.14558054201706,1061.416,149.3843673199816,114.58437364759146,97.73224730376012,258.9101325694491,0.6542334318986501,0.1497930463576159,1.0,3.0,20,0.08253311258278145,13.20679012345679,50.0,16.476543209876542,32.0,0.1474579096516086,0.3307931112527859,0.09168247941391518,0.5632937554238774
../results/20260508_015422_balanced,balanced,50,1500.0,20,1,6,60,6,7598,66.79487228393555,190.17484188079837,590.1440382003774,1908.3690404891925,3525.969796896027,3844.8874950408936,28.570591951684342,1523.7915,890.3089110321727,3427.402,134.30469644063766,91.18601307006443,96.19608133837725,253.36532053845127,0.7162525502665179,0.14450934579439254,1.0,3.0,37,0.07842679127725857,13.659195402298849,50.0,16.451149425287355,31.6,0.22874840808924035,0.4559456183118637,0.09015446546112266,0.5837159280573679
../results/20260507_233056_balanced,balanced,200,1500.0,20,1,6,60,47,54614,71.19476795196533,230.70538043975847,883.9826226234425,6314.60619449619,14697.500493049796,16197.755813598633,88.69480688182895,1988.0564922480623,2924.618667061673,15912.276,137.99718263365938,137.34662963501682,28.678386860817874,239.57743193254902,0.20781864030478278,0.8486648416920614,7.0,9.0,214,0.18082743659934922,16.16439393939394,50.0,16.576136363636365,31.6,0.2803935476155918,0.3550358552525737,0.03366199227867961,0.5895859546366813
