"Time","avg_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 01:51:15,6508
2026-06-22 01:51:30,6627
2026-06-22 01:51:45,6746
2026-06-22 01:52:00,6866
2026-06-22 01:52:15,6986
2026-06-22 01:52:30,7104
2026-06-22 01:52:45,7224
2026-06-22 01:53:00,7344
2026-06-22 01:53:15,7464
2026-06-22 01:53:30,7584
2026-06-22 01:53:45,7704
2026-06-22 01:54:00,7942
2026-06-22 01:54:15,7982
2026-06-22 01:54:30,8020
2026-06-22 01:54:45,8055
2026-06-22 01:55:00,8087
2026-06-22 01:55:15,8118
2026-06-22 01:55:30,8146
2026-06-22 01:55:45,8173
2026-06-22 01:56:00,8198
2026-06-22 01:56:15,8222
2026-06-22 01:56:30,8245
2026-06-22 01:56:45,8266
2026-06-22 01:57:00,8286
2026-06-22 01:57:15,8305
2026-06-22 01:57:30,8322
2026-06-22 01:57:45,8339
2026-06-22 01:58:00,8356
2026-06-22 01:58:15,8371
2026-06-22 01:58:30,8386
2026-06-22 01:58:45,8400
2026-06-22 01:59:00,8413
2026-06-22 01:59:15,8427
2026-06-22 01:59:30,8439
2026-06-22 01:59:45,8451
2026-06-22 02:00:00,8462
2026-06-22 02:00:15,8473
2026-06-22 02:00:30,8483
2026-06-22 02:00:45,8493
2026-06-22 02:01:00,8502
2026-06-22 02:01:15,8512
2026-06-22 02:01:30,8520
2026-06-22 02:01:45,8529
2026-06-22 02:02:00,8537
2026-06-22 02:02:15,8545
2026-06-22 02:02:30,8553
2026-06-22 02:02:45,8560
2026-06-22 02:03:00,8567
2026-06-22 02:03:15,8574
2026-06-22 02:03:30,8543
2026-06-22 02:03:45,8436
2026-06-22 02:04:00,8436
2026-06-22 02:04:15,8436
2026-06-22 02:04:30,8436
2026-06-22 02:04:45,8436
2026-06-22 02:05:00,8436
2026-06-22 02:05:15,8436
2026-06-22 02:05:30,8436
2026-06-22 02:05:45,8436
2026-06-22 02:06:00,8436
2026-06-22 02:06:15,8436
