"Time","stddev_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 01:50:15,2372
2026-06-22 01:50:30,2443
2026-06-22 01:50:45,2506
2026-06-22 01:51:00,2563
2026-06-22 01:51:15,2605
2026-06-22 01:51:30,2646
2026-06-22 01:51:45,2683
2026-06-22 01:52:00,2714
2026-06-22 01:52:15,2739
2026-06-22 01:52:30,2759
2026-06-22 01:52:45,2773
2026-06-22 01:53:00,2783
2026-06-22 01:53:15,2788
2026-06-22 01:53:30,2787
2026-06-22 01:53:45,2781
2026-06-22 01:54:00,2624
2026-06-22 01:54:15,2581
2026-06-22 01:54:30,2540
2026-06-22 01:54:45,2501
2026-06-22 01:55:00,2463
2026-06-22 01:55:15,2427
2026-06-22 01:55:30,2393
2026-06-22 01:55:45,2360
2026-06-22 01:56:00,2328
2026-06-22 01:56:15,2298
2026-06-22 01:56:30,2269
2026-06-22 01:56:45,2240
2026-06-22 01:57:00,2213
2026-06-22 01:57:15,2187
2026-06-22 01:57:30,2161
2026-06-22 01:57:45,2137
2026-06-22 01:58:00,2113
2026-06-22 01:58:15,2090
2026-06-22 01:58:30,2068
2026-06-22 01:58:45,2046
2026-06-22 01:59:00,2025
2026-06-22 01:59:15,2005
2026-06-22 01:59:30,1986
2026-06-22 01:59:45,1966
2026-06-22 02:00:00,1948
2026-06-22 02:00:15,1930
2026-06-22 02:00:30,1912
2026-06-22 02:00:45,1895
2026-06-22 02:01:00,1878
2026-06-22 02:01:15,1862
2026-06-22 02:01:30,1846
2026-06-22 02:01:45,1831
2026-06-22 02:02:00,1816
2026-06-22 02:02:15,1801
2026-06-22 02:02:30,1786
2026-06-22 02:02:45,1772
2026-06-22 02:03:00,1759
2026-06-22 02:03:15,1745
2026-06-22 02:03:30,1749
2026-06-22 02:03:45,1932
2026-06-22 02:04:00,1932
2026-06-22 02:04:15,1932
2026-06-22 02:04:30,1932
2026-06-22 02:04:45,1932
2026-06-22 02:05:00,1932
2026-06-22 02:05:15,1932
