"Time","1000 *
sum(rate(consumer_e2e_latency_seconds_sum[30s]))
/
sum(rate(consumer_e2e_latency_seconds_count[30s]))"
2026-06-22 01:51:15,55.3
2026-06-22 01:51:30,70.5
2026-06-22 01:51:45,69.2
2026-06-22 01:52:00,35.8
2026-06-22 01:52:15,42.7
2026-06-22 01:52:30,37.4
2026-06-22 01:52:45,47.3
2026-06-22 01:53:00,39.9
2026-06-22 01:53:15,32.2
2026-06-22 01:53:30,39.4
2026-06-22 01:53:45,42.6
2026-06-22 01:54:00,37.8
2026-06-22 01:54:15,46.7
2026-06-22 01:54:30,50.2
2026-06-22 01:54:45,46.4
2026-06-22 01:55:00,43.2
2026-06-22 01:55:15,40.6
2026-06-22 01:55:30,45.0
2026-06-22 01:55:45,45.7
2026-06-22 01:56:00,53.0
2026-06-22 01:56:15,59.0
2026-06-22 01:56:30,61.3
2026-06-22 01:56:45,61.6
2026-06-22 01:57:00,44.5
2026-06-22 01:57:15,40.1
2026-06-22 01:57:30,38.6
2026-06-22 01:57:45,57.8
2026-06-22 01:58:00,132
2026-06-22 01:58:15,113
2026-06-22 01:58:30,40.6
2026-06-22 01:58:45,36.8
2026-06-22 01:59:00,35.8
2026-06-22 01:59:15,41.1
2026-06-22 01:59:30,36.4
2026-06-22 01:59:45,36.6
2026-06-22 02:00:00,51.9
2026-06-22 02:00:15,70.8
2026-06-22 02:00:30,53.8
2026-06-22 02:00:45,45.9
2026-06-22 02:01:00,54.9
2026-06-22 02:01:15,82.4
2026-06-22 02:01:30,62.7
2026-06-22 02:01:45,52.4
2026-06-22 02:02:00,57.6
2026-06-22 02:02:15,56.1
2026-06-22 02:02:30,45.2
2026-06-22 02:02:45,49.2
2026-06-22 02:03:00,34.1
2026-06-22 02:03:15,35.1
2026-06-22 02:03:30,30.6
2026-06-22 02:03:45,58.5
2026-06-22 02:04:00,NaN
2026-06-22 02:04:15,NaN
2026-06-22 02:04:30,NaN
2026-06-22 02:04:45,NaN
2026-06-22 02:05:00,NaN
2026-06-22 02:05:15,NaN
2026-06-22 02:05:30,NaN
2026-06-22 02:05:45,NaN
2026-06-22 02:06:00,NaN
2026-06-22 02:06:15,NaN
