root,u,n_exc,xi,sigma,ks_stat,ks_p,ad_stat
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.4,5000,8.59726057177187,48.07407302974643,0.4094282124389758,0.0,733.5197916433681
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.5,5000,8.605519640142695,48.39370859883344,0.41015254813333046,0.0,736.408730199516
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.6,5000,8.613794146100993,48.71453969860253,0.41087673989305307,0.0,739.3118355941879
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.7,5000,8.62209684795911,49.03610510025353,0.4116005792174053,0.0,742.224176915307
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.8,5000,8.63334243769662,48.38837935487035,0.41155010472448733,0.0,741.261379281801
../results/20250922_121352/merge/merge-sts-0_merge-metrics/2025-09-22/,0.9,5000,8.641544337937486,48.712743690410164,0.4122753018404767,0.0,744.1887541036431
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.4,5000,8.918469224898471,50.31321834815445,0.42789596753330245,0.0,804.2851322868173
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.5,5000,8.92614280866229,50.67828139066175,0.4286275418132196,0.0,807.4998828805674
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.6,5000,8.933838991997039,51.044815937268794,0.4293588233094586,0.0,810.7283664442893
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.7,5000,8.941544260686769,51.41289645656198,0.4300902515933316,0.0,813.9692258849163
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.8,5000,8.953380220772818,50.708524111996354,0.43004668503989674,0.0,813.1306027837309
../results/20250922_065826/merge/merge-sts-0_merge-metrics/2025-09-22/,0.9,5000,8.961004506118599,51.07915261857879,0.43077875449196495,0.0,816.3846565405902
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.4,5000,-2.086811826200859,3669715.5422447813,0.9777701203062301,0.0,31436.14427310603
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.5,5000,-16.1613218668899,28420123.90452095,0.5934919260535468,0.0,1930.5725700489384
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.6,5000,-2.5275886543344193,4444833.117186295,0.9785226186533967,0.0,25238.801256572046
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.7,5000,-15.937935392094108,28027289.527849123,0.601006160637843,0.0,1968.272663463239
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.8,5000,-16.22712684905118,28535838.88703695,0.5943974566503191,0.0,1934.1518860546175
../results/20250922_021233/merge/merge-sts-0_merge-metrics/2025-09-22/,0.9,5000,-15.550186655053153,27345419.799175058,0.6112633205083714,0.0,2026.68234752652
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.4,5000,10.115283548982093,71.16586909085541,0.5069387881626618,0.0,1207.0769803698677
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.5,5000,10.117949185104406,72.04832658294387,0.5076948688667795,0.0,1211.892019682863
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.6,5000,10.12055774512636,72.9456138446736,0.5084508284596105,0.0,1216.7286538188946
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.7,5000,10.123082735310014,73.85983463331513,0.5092068097788526,0.0,1221.584801405308
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.8,5000,10.139260560628848,72.57532722791333,0.5091875555639237,0.0,1221.1872232882142
../results/20250922_163656/merge/merge-sts-0_merge-metrics/2025-09-22/,0.9,5000,10.141595207651354,73.49974395513003,0.5099441095605853,0.0,1226.0588117093575
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.4,5000,-0.9994775171730899,112.45323801499403,0.002057747545058053,1.0,0.03577566949297761
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.5,5000,-1.0011595261897233,112.67650003454862,0.002523532710170029,0.9999999999999994,0.052184006272909755
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.6,5000,-1.0015373512603718,112.75708115429772,0.002537023291538265,0.9999999999999992,0.05585567553680448
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.7,5000,-1.0034444232475324,112.99887994632788,0.003045313984336495,0.9999999999438917,0.0844439056218107
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.8,5000,-1.001780431736755,112.71131815513405,0.002838694634063166,0.9999999999987643,0.06855675317638088
../results/20250923_132141/merge/merge-sts-0_merge-metrics/2025-09-22/,0.9,5000,-1.0013753948972117,112.69278419094242,0.002515039505626704,0.9999999999999996,0.05010305986979802
