timestamp_epoch,seconds_from_start,labels_json,value
1789192151.897,5.99993109703064,{},47.55321761571245
1789192153.897,7.99993109703064,{},46.597912734229546
1789192155.897,9.99993109703064,{},47.216768072764175
1789192157.897,11.99993109703064,{},47.40885084345885
1789192159.897,13.99993109703064,{},46.05342314695293
1789192161.897,15.99993109703064,{},45.97559406056094
1789192163.897,17.99993109703064,{},45.91928550206654
1789192165.897,19.99993109703064,{},45.64862891426412
1789192167.897,21.99993109703064,{},45.80985953515726
1789192169.897,23.99993109703064,{},46.311687408014805
1789192171.897,25.99993109703064,{},46.18407065862351
1789192173.897,27.99993109703064,{},46.341860860594466
1789192175.897,29.99993109703064,{},46.11354283760998
1789192177.897,31.99993109703064,{},45.99712003872215
1789192179.897,33.99993109703064,{},206.5731132075477
1789192181.897,35.99993109703064,{},298.5201793721956
1789192183.897,37.99993109703064,{},403.5003092145965
1789192185.897,39.99993109703064,{},400.6028257456815
1789192187.897,41.99993109703064,{},400.57686212361267
1789192189.897,43.99993109703064,{},410.83381586566475
1789192191.897,45.99993109703064,{},408.63200697066696
1789192193.897,47.99993109703064,{},405.9049034175336
1789192195.897,49.99993109703064,{},423.82180851063805
1789192197.897,51.99993109703064,{},442.24784532960746
1789192199.897,53.99993109703064,{},456.5101914762194
1789192201.897,55.99993109703064,{},458.15409636104795
1789192203.897,57.99993109703064,{},451.88617886178787
1789192205.897,59.99993109703064,{},136.8431906614801
1789192207.897,61.99993109703064,{},49.068664901220984
1789192209.897,63.99993109703064,{},256.9541069862624
1789192211.897,65.99993109703064,{},297.5507167974037
1789192213.897,67.99993109703064,{},329.2886000351325
1789192215.897,69.99993109703064,{},319.1735228122676
1789192217.897,71.99993109703064,{},328.4687328076291
1789192219.897,73.99993109703064,{},342.4860724233991
1789192221.897,75.99993109703064,{},340.6930865921806
1789192223.897,77.99993109703064,{},337.969819266538
1789192225.897,79.99993109703064,{},322.0763104278568
1789192227.897,81.99993109703064,{},315.8387342737327
1789192229.897,83.99993109703064,{},321.2285927029047
1789192231.897,85.99993109703064,{},323.71931110296964
1789192233.897,87.99993109703064,{},313.5271173848463
1789192235.897,89.99993109703064,{},137.36355140186774
1789192237.897,91.99993109703064,{},84.71843817787347
1789192239.897,93.99993109703064,{},293.05108556832715
1789192241.897,95.99993109703064,{},329.28420735382775
1789192243.897,97.99993109703064,{},352.8867462944313
1789192245.897,99.99993109703064,{},360.0171339563864
1789192247.897,101.99993109703064,{},374.6079501169132
1789192249.897,103.99993109703064,{},383.1963869463867
1789192251.897,105.99993109703064,{},387.6336200817935
1789192253.897,107.99993109703064,{},392.0900233292175
1789192255.897,109.99993109703064,{},399.36757327700053
1789192257.897,111.99993109703064,{},396.7242996917304
1789192259.897,113.99993109703064,{},385.7106953364976
1789192261.897,115.99993109703064,{},383.4910575975214
1789192263.897,117.99993109703064,{},369.3246252040956
1789192265.897,119.99993109703064,{},203.68308351177785
1789192267.897,121.99993109703064,{},149.80975280898855
1789192269.897,123.99993109703064,{},284.1396039603966
1789192271.897,125.99993109703064,{},301.32465419039914
1789192273.897,127.99993109703064,{},324.4892131979697
1789192275.897,129.99993109703064,{},307.1612454339873
1789192277.897,131.99993109703064,{},296.8708479874947
1789192279.897,133.99993109703064,{},289.9775915822288
1789192281.897,135.99993109703064,{},291.11207227989127
1789192283.897,137.99993109703064,{},290.3454615831238
1789192285.897,139.99993109703064,{},290.2871723033816
1789192287.897,141.99993109703064,{},293.4930693069306
1789192289.897,143.99993109703064,{},300.45382585751946
1789192291.897,145.99993109703064,{},302.12084276510666
1789192293.897,147.99993109703064,{},295.933547480427
1789192295.897,149.99993109703064,{},138.8290558510632
1789192297.897,151.99993109703064,{},90.8129032258068
1789192299.897,153.99993109703064,{},326.4888748619218
1789192301.897,155.99993109703064,{},380.20926966292154
1789192303.897,157.99993109703064,{},414.44328824141553
1789192305.897,159.99993109703064,{},417.79859783301436
1789192307.897,161.99993109703064,{},421.49446723859194
1789192309.897,163.99993109703064,{},447.45516458569756
1789192311.897,165.99993109703064,{},454.6859633437632
1789192313.897,167.99993109703064,{},459.3227222832045
1789192315.897,169.99993109703064,{},460.0666157038322
1789192317.897,171.99993109703064,{},459.46533555185766
1789192319.897,173.99993109703064,{},457.41053567459323
1789192321.897,175.99993109703064,{},455.6464498705962
1789192323.897,177.99993109703064,{},449.5513932246493
1789192325.897,179.99993109703064,{},257.0706059088629
1789192327.897,181.99993109703064,{},165.36573392243523
1789192329.897,183.99993109703064,{},332.86069995850147
1789192331.897,185.99993109703064,{},368.26682015860746
1789192333.897,187.99993109703064,{},391.1046304011423
1789192335.897,189.99993109703064,{},350.40109890109875
1789192337.897,191.99993109703064,{},329.3144753932732
1789192339.897,193.99993109703064,{},337.2406610193025
1789192341.897,195.99993109703064,{},340.02607383010775
1789192343.897,197.99993109703064,{},343.4912280701741
1789192345.897,199.99993109703064,{},341.12879298718724
1789192347.897,201.99993109703064,{},335.9530992868892
1789192349.897,203.99993109703064,{},339.0121822033893
1789192351.897,205.99993109703064,{},342.50615524167375
1789192353.897,207.99993109703064,{},339.0054887611069
1789192355.897,209.99993109703064,{},173.22937625754483
1789192357.897,211.99993109703064,{},74.84674329501951
1789192359.897,213.99993109703064,{},248.8056247775012
1789192361.897,215.99993109703064,{},272.1304067140092
1789192363.897,217.99993109703064,{},287.3993237011992
1789192365.897,219.99993109703064,{},283.9177590511861
1789192367.897,221.99993109703064,{},284.5931045193357
1789192369.897,223.99993109703064,{},293.10588235294097
1789192371.897,225.99993109703064,{},294.789266443051
1789192373.897,227.99993109703064,{},295.4700232828867
1789192375.897,229.99993109703064,{},302.3083929733239
1789192377.897,231.99993109703064,{},308.91840122589645
1789192379.897,233.99993109703064,{},315.7317229859959
1789192381.897,235.99993109703064,{},325.2241422489359
1789192383.897,237.99993109703064,{},334.84814538212623
1789192385.897,239.99993109703064,{},274.12136536030334
1789192387.897,241.99993109703064,{},234.2993710691809
1789192389.897,243.99993109703064,{},412.50824693685115
1789192391.897,245.99993109703064,{},445.38755458515243
1789192393.897,247.99993109703064,{},465.8056847545206
1789192395.897,249.99993109703064,{},464.7631352282505
1789192397.897,251.99993109703064,{},467.1225071225058
1789192399.897,253.99993109703064,{},464.2419372120427
1789192401.897,255.99993109703064,{},462.69938650306665
1789192403.897,257.99993109703064,{},459.89884230639547
1789192405.897,259.99993109703064,{},453.5923737317411
1789192407.897,261.99993109703064,{},438.7375186502917
1789192409.897,263.99993109703064,{},412.08793878294523
1789192411.897,265.99993109703064,{},410.2658412235968
1789192413.897,267.99993109703064,{},401.77590118477394
1789192415.897,269.99993109703064,{},223.3408323959496
1789192417.897,271.99993109703064,{},122.41397743992084
1789192419.897,273.99993109703064,{},309.94372871316335
1789192421.897,275.99993109703064,{},341.40286298568446
1789192423.897,277.99993109703064,{},373.92227051904877
1789192425.897,279.99993109703064,{},360.8319581958195
1789192427.897,281.99993109703064,{},361.82994958441145
1789192429.897,283.99993109703064,{},360.6533077134229
1789192431.897,285.99993109703064,{},360.01240011022173
1789192433.897,287.99993109703064,{},358.91944444444385
1789192435.897,289.99993109703064,{},354.38168592212156
1789192437.897,291.99993109703064,{},353.8462643678146
1789192439.897,293.99993109703064,{},345.01843385931153
1789192441.897,295.99993109703064,{},339.4644727000742
1789192443.897,297.99993109703064,{},336.96664663461473
1789192445.897,299.99993109703064,{},179.3815366049865
1789192447.897,301.99993109703064,{},83.44210526315648
1789192449.897,303.99993109703064,{},84.38571428571339
1789192451.897,305.99993109703064,{},83.36424314660229
1789192453.897,307.99993109703064,{},81.19443037974622
1789192455.897,309.99993109703064,{},79.73027522935693
1789192457.897,311.99993109703064,{},77.90999999999933
1789192459.897,313.99993109703064,{},49.53113444419084
