t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
810,,,,,,169147.54160881042,169149.39260482788,0.3404255319148936,169148.9945411682,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
840,,,,,,179338.35412740707,179734.44294929504,0.3804347826086957,179656.09570980072,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
870,,,,,,186688.78813266754,187162.0230674744,0.3448275862068966,187040.96296787265,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
900,216.633334,8711.4,2957.711,0.3357439606093245,2.95744625,191313.4077501297,191365.90838432312,0.43373493975903615,191349.261841774,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
930,,,,,,197185.30341148376,197211.71402931213,0.4117647058823529,197203.22490215302,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
960,,,,,,203282.717628479,203604.1281223297,0.3176470588235294,203546.73339128494,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
990,,,,,,208618.19287776947,208619.1530227661,0.2911392405063291,208618.9314508438,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1020,,,,,,209043.95447015762,212012.5572681427,0.38095238095238093,211154.166097641,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1050,,,,,,222341.0366821289,222343.73235702515,0.325,222343.1863975525,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1080,,,,,,227657.2332811356,227724.1871356964,0.41333333333333333,227698.8532447815,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1110,,,,,,238169.49562311175,238193.1037902832,0.40217391304347827,238186.87746047974,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1140,,,,,,243727.0491719246,243763.32354545596,0.4473684210526316,243750.74842929843,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1170,,,,,,249262.95974254608,249406.8968296051,0.3023255813953488,249378.1094121933,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1200,,,,,,256729.05624628067,256805.3500652313,0.37254901960784315,256787.0975732803,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1230,,,,,,261339.53294754028,262885.34688949585,0.32098765432098764,262556.8614268303,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1260,,,,,,269671.7291498184,269730.77034950256,0.4050632911392405,269718.65933418274,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1290,,,,,,277159.34815645224,277191.8251514435,0.32051282051282054,277183.38956832886,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1320,,,,,,281341.08357191086,281351.3457775116,0.38235294117647056,281348.74193429947,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1350,,,,,,285638.44978809357,285676.07498168945,0.41025641025641024,285664.3476486206,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1380,,,,,,293555.1275253296,293555.6426048279,0.4044943820224719,293555.5079817772,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1410,,,,,,299985.9582901001,300076.1148929596,0.36619718309859156,300050.35586357117,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1440,,,,,,307364.26533699036,307380.6960582733,0.3333333333333333,307376.7619419098,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1470,,,,,,310238.1972360611,310256.8037509918,0.4189189189189189,310249.9218893051,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1500,,,,,,319265.7321691513,319293.5252189636,0.45054945054945056,319286.73136234283,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1530,,,,,,325423.6943745613,325449.232339859,0.34523809523809523,325444.6170449257,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1560,,,,,,330663.6693954468,330685.3077411652,0.29411764705882354,330679.8981547356,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1590,,,,,,333843.9666748047,333847.03826904297,0.4536082474226804,333846.1103916168,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
1620,,,,,,342491.5554881096,342524.9047279358,0.3488372093023256,342518.23487997055,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
